model,fold,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,pearson_r,n_samples,elapsed_s
prophet_lstm_huang,0,2014-01-01,60,1440,7340,1440,7803.82,6684.93,50.83,0.5456,1440,57.7
prophet_lstm_huang,1,2015-01-01,60,1440,16098,1440,2052.85,1729.28,11.5,0.9473,1440,52.9
prophet_lstm_huang,2,2016-01-01,60,1440,24856,1440,672.7,480.01,3.51,0.9536,1440,52.8
prophet_lstm_huang,3,2017-01-01,60,1440,33640,1440,1283.24,1142.71,7.8,0.9628,1440,67.4
prophet_lstm_huang,4,2018-01-01,60,1440,42400,1440,1385.83,1204.81,8.56,0.9449,1440,117.5
prophet_lstm_huang,5,2019-01-01,60,1440,51160,1440,1841.63,1652.19,11.96,0.9268,1440,178.7
prophet_lstm_huang,6,2020-01-01,60,1440,59920,1440,668.51,508.83,3.75,0.9488,1440,233.1
prophet_lstm_huang,7,2021-01-01,60,1440,68703,1440,991.12,713.27,5.44,0.8617,1440,324.2
prophet_lstm_huang,8,2022-01-01,60,1440,77462,1440,1494394837594001.0,1494394837594001.0,11705025842721.59,,1440,364.3
prophet_lstm_huang,9,2023-01-01,60,1440,86221,1440,3901.73,3449.57,26.12,0.4812,1440,269.2
prophet_lstm_huang,10,2024-01-01,60,1440,94980,1440,7631181646716990.0,7631181646716991.0,54145631395553.28,,1440,445.5
prophet_lstm_huang,11,2025-01-01,60,1440,103763,1440,4411.42,4142.11,26.82,0.9125,1440,397.9
