model,horizon_days,rmse_mean,rmse_std,mae_mean,mae_std,mape_pct_mean,mape_pct_std,mase_mean,mase_std,nmae_mean,nmae_std,nrmse_mean,nrmse_std,pcc_mean,pcc_std,n_folds,total_elapsed_s
van_de_sande_mlr,60,31153.8809,33490.4406,31052.7391,33560.4465,232.0509,255.607,40.8354,44.3989,2.2614,2.4871,2.2687,2.4821,0.7506,0.1387,11,8.2
van_de_sande_mlr,75,20581.4909,28664.2453,20442.9445,28730.1896,149.8982,201.6878,26.312,35.5276,1.4619,1.969,1.4721,1.9642,0.707,0.1647,11,7.5
van_de_sande_mlr,90,20964.4791,39640.6104,20766.6055,39729.7785,151.9773,284.199,26.8523,49.9141,1.4827,2.7751,1.4982,2.7681,0.7568,0.1979,11,9.1
van_de_sande_mlr,105,23670.1182,28887.9479,22612.4245,27533.4581,174.7073,212.4701,30.2801,36.8766,1.7126,2.0821,1.7899,2.1714,0.5578,0.3385,11,9.6
van_de_sande_mlr,120,47627.6709,99899.3509,47036.3373,99232.0728,359.9773,744.1409,62.5094,132.0603,3.5088,7.2194,3.5542,7.2679,0.493,0.2902,11,8.6
van_de_sande_mlr,135,25731.8645,40931.2225,25086.1291,41045.0381,196.0927,315.6887,33.9459,56.2251,1.9266,3.0817,1.978,3.0745,0.4398,0.4408,11,8.9
van_de_sande_mlr,150,14757.6491,21097.1167,14134.5618,20906.1066,114.8027,175.8486,19.059,28.0102,1.1277,1.717,1.1776,1.7347,0.4254,0.4347,11,8.7
van_de_sande_mlr,165,26111.4791,37633.2599,25627.2027,37599.5613,203.3782,293.321,35.4699,53.4527,1.987,2.8597,2.0261,2.8644,0.2775,0.3997,11,8.8
van_de_sande_mlr,180,21529.3473,29805.2113,20924.8927,29691.2138,165.0618,230.0157,28.9971,42.4386,1.6167,2.2559,1.6649,2.2652,0.5051,0.3023,11,7.3
van_de_sande_prophet_lstm,60,1280.6945,343.6449,1032.7891,335.1053,7.5318,2.3868,1.3702,0.4619,0.0744,0.0242,0.0925,0.0258,0.9142,0.0423,11,747.4
van_de_sande_prophet_lstm,75,1255.5409,286.4195,992.6091,263.101,7.4355,2.225,1.305,0.3477,0.0727,0.0207,0.0922,0.0243,0.9031,0.0567,11,737.4
van_de_sande_prophet_lstm,90,1807.1055,992.0292,1481.6136,942.0782,11.2336,6.8346,1.9852,1.3047,0.1099,0.0684,0.1345,0.0727,0.8642,0.0823,11,801.1
van_de_sande_prophet_lstm,105,1791.6091,1005.945,1481.1209,984.8428,11.5136,7.3581,1.9926,1.3718,0.1113,0.0726,0.135,0.0746,0.861,0.0664,11,841.4
van_de_sande_prophet_lstm,120,1712.2373,1345.1521,1365.0155,1253.4995,10.7636,9.574,1.8435,1.7845,0.1042,0.0941,0.131,0.1012,0.8395,0.1056,11,765.7
van_de_sande_prophet_lstm,135,1719.7218,1455.2241,1396.3091,1357.8572,11.0427,10.4008,1.8773,1.8783,0.1077,0.1029,0.1329,0.1104,0.8359,0.11,11,743.0
van_de_sande_prophet_lstm,150,1912.3855,1774.9225,1555.7218,1575.8942,12.4091,12.2093,2.0919,2.1772,0.1209,0.1203,0.1489,0.1357,0.8148,0.1517,11,737.7
van_de_sande_prophet_lstm,165,1792.1727,1269.4353,1416.8473,1067.5959,11.3245,8.1007,1.8894,1.4643,0.111,0.0817,0.1406,0.0974,0.8164,0.1262,11,740.4
van_de_sande_prophet_lstm,180,2037.7245,2344.9581,1649.87,2050.9048,13.3245,16.1011,2.2128,2.8121,0.1295,0.1581,0.1602,0.1809,0.8031,0.1598,11,746.7
