model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,123,2015-01-01,180,4320,13220,4320,3003.46,2563.79,19.65,3.5008,0.1982,0.2322,-0.1235,4320,8758,134.46,0.9,18,135.9
ashtar_seq2seq,1,123,2016-02-01,180,4320,22722,4320,3822.52,2938.59,23.81,4.057,0.2313,0.3008,-0.1265,4320,8758,171.87,0.9,19,173.6
ashtar_seq2seq,2,123,2017-03-01,180,4320,32176,4320,10754.99,6981.63,57.21,8.9227,0.556,0.8565,0.2458,4320,8760,255.72,0.89,19,257.7
ashtar_seq2seq,3,123,2018-04-01,180,4320,41680,4320,1478.66,1199.68,9.44,1.5216,0.0947,0.1167,0.7109,4320,8760,304.03,0.9,19,306.3
ashtar_seq2seq,4,123,2019-05-01,180,4320,51160,4320,1851.79,1544.98,13.1,2.0748,0.1251,0.1499,0.417,4320,8760,546.66,0.89,19,549.1
ashtar_seq2seq,5,123,2020-06-01,180,4320,60664,4320,1186.91,891.69,7.72,1.253,0.0742,0.0987,0.6902,4320,8783,410.67,0.89,19,413.3
ashtar_seq2seq,6,123,2021-07-01,180,4320,70167,4320,1808.56,1405.36,12.06,1.9789,0.1154,0.1486,0.6177,4320,8759,569.55,0.91,19,572.5
ashtar_seq2seq,7,123,2022-08-01,180,4320,79670,4320,1968.4,1482.97,12.18,1.9929,0.126,0.1673,0.4483,4320,8759,600.3,0.89,19,603.5
ashtar_seq2seq,8,123,2023-09-01,180,4320,89165,4320,2823.16,2240.62,16.03,2.5351,0.1637,0.2062,0.4735,4320,8759,245.77,0.9,19,249.2
ashtar_seq2seq,9,123,2024-10-01,180,4320,98644,4320,2054.99,1706.1,11.58,2.2541,0.1203,0.145,0.7084,4320,8783,744.6,0.87,19,748.2
