model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
van_de_sande_prophet_lstm,0,7,2015-01-01,120,2880,14660,2880,800.26,617.79,4.69,0.8668,0.0465,0.0602,0.9375,2880,8758,9.23,0.01,23,19.2
van_de_sande_prophet_lstm,1,7,2016-02-01,120,2880,24162,2880,785.19,604.49,4.84,0.8327,0.0474,0.0616,0.924,2880,8758,11.02,0.01,24,34.2
van_de_sande_prophet_lstm,2,7,2017-03-01,120,2880,33616,2880,859.85,633.61,5.01,0.7768,0.0499,0.0677,0.9031,2880,8760,14.26,0.01,24,52.9
van_de_sande_prophet_lstm,3,7,2018-04-01,120,2880,43120,2880,1060.99,740.91,5.69,0.9055,0.0583,0.0834,0.8065,2880,8760,18.23,0.01,24,68.3
van_de_sande_prophet_lstm,4,7,2019-05-01,120,2880,52600,2880,1163.6,942.76,7.9,1.2624,0.0775,0.0957,0.8524,2880,8760,23.78,0.01,24,92.5
van_de_sande_prophet_lstm,5,7,2020-06-01,120,2880,62104,2880,1062.52,757.9,6.71,1.0213,0.0652,0.0914,0.6997,2880,8783,32.03,0.01,24,120.9
van_de_sande_prophet_lstm,6,7,2021-07-01,120,2880,71607,2880,1171.48,975.36,8.18,1.3644,0.0841,0.101,0.7556,2880,8759,34.76,0.01,24,147.6
van_de_sande_prophet_lstm,7,7,2022-08-01,120,2880,81110,2880,1293.48,916.98,9.07,1.1696,0.0821,0.1158,0.6886,2880,8759,33.96,0.01,24,225.9
van_de_sande_prophet_lstm,8,7,2023-09-01,120,2880,90607,2880,3519.85,3095.27,21.97,3.2949,0.2314,0.2632,0.5718,2880,8759,38.34,0.0,24,169.2
van_de_sande_prophet_lstm,9,7,2024-10-01,120,2880,100084,2880,875.24,699.05,4.82,0.9427,0.0489,0.0613,0.9249,2880,8783,54.23,0.01,24,207.4
