model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,7,2015-01-01,60,1440,16100,1440,1906.12,1524.98,11.27,2.0845,0.1096,0.137,0.7286,1440,8758,146.95,0.33,18,147.9
ashtar_seq2seq,1,7,2016-02-01,60,1440,25602,1440,4140.45,2947.11,21.51,4.0988,0.2197,0.3087,0.1411,1440,8758,181.16,0.33,19,182.4
ashtar_seq2seq,2,7,2017-03-01,60,1440,35056,1440,1642.76,1271.86,10.65,1.6076,0.1002,0.1294,0.6821,1440,8760,341.07,0.32,19,342.5
ashtar_seq2seq,3,7,2018-04-01,60,1440,44560,1440,2288.36,1792.53,13.91,2.2356,0.1406,0.1794,0.535,1440,8760,471.08,0.32,19,472.8
ashtar_seq2seq,4,7,2019-05-01,60,1440,54040,1440,1381.61,1072.93,9.26,1.3674,0.0887,0.1142,0.5571,1440,8760,338.55,0.32,19,340.5
ashtar_seq2seq,5,7,2020-06-01,60,1440,63544,1440,1337.23,1112.23,10.09,1.5152,0.0978,0.1175,0.4244,1440,8783,392.96,0.32,19,395.2
ashtar_seq2seq,6,7,2021-07-01,60,1440,73047,1440,3020.15,2266.35,21.25,3.4054,0.2023,0.2695,-0.0077,1440,8759,352.6,0.32,19,355.0
ashtar_seq2seq,7,7,2022-08-01,60,1440,82550,1440,1623.49,1268.04,12.58,1.6162,0.1178,0.1508,0.2817,1440,8759,443.13,0.32,19,445.8
ashtar_seq2seq,8,7,2023-09-01,60,1440,92047,1440,2006.46,1560.61,11.92,1.8174,0.1225,0.1575,0.4844,1440,8759,434.02,0.32,19,437.0
ashtar_seq2seq,9,7,2024-10-01,60,1440,101524,1440,1648.29,1209.68,8.58,1.7437,0.088,0.1199,0.6202,1440,8783,344.19,0.32,19,347.4
ashtar_seq2seq,10,7,2025-11-01,60,1440,111042,1440,1575.65,1325.17,8.75,1.7054,0.0893,0.1061,0.8606,1440,8760,726.38,0.32,19,729.8
ashtar_seq2seq,0,42,2015-01-01,60,1440,16100,1440,3987.58,3240.7,24.81,4.4297,0.233,0.2867,0.31,1440,8758,157.66,0.57,18,158.9
ashtar_seq2seq,1,42,2016-02-01,60,1440,25602,1440,4086.3,3478.2,25.98,4.8374,0.2593,0.3046,0.6828,1440,8758,266.45,0.46,19,267.8
ashtar_seq2seq,2,42,2017-03-01,60,1440,35056,1440,14896.58,13955.03,111.57,17.6391,1.0995,1.1737,0.2397,1440,8760,496.74,0.43,19,498.3
ashtar_seq2seq,3,42,2018-04-01,60,1440,44560,1440,2665.35,2022.79,16.18,2.5227,0.1586,0.209,0.4627,1440,8760,159.49,0.32,19,161.2
ashtar_seq2seq,4,42,2019-05-01,60,1440,54040,1440,1110.69,831.7,7.08,1.0599,0.0687,0.0918,0.7152,1440,8760,287.55,0.32,19,289.5
ashtar_seq2seq,5,42,2020-06-01,60,1440,63544,1440,1666.43,1359.05,12.07,1.8515,0.1195,0.1465,0.3875,1440,8783,368.64,0.32,19,370.9
ashtar_seq2seq,6,42,2021-07-01,60,1440,73047,1440,1532.77,1194.0,11.45,1.7941,0.1066,0.1368,0.4713,1440,8759,260.49,0.32,19,263.0
ashtar_seq2seq,7,42,2022-08-01,60,1440,82550,1440,1564.94,1281.45,12.38,1.6333,0.119,0.1454,0.3783,1440,8759,447.58,0.31,19,450.2
ashtar_seq2seq,8,42,2023-09-01,60,1440,92047,1440,1479.72,1167.33,9.17,1.3594,0.0916,0.1162,0.6438,1440,8759,699.25,0.32,19,702.2
ashtar_seq2seq,9,42,2024-10-01,60,1440,101524,1440,2334.56,1894.57,13.22,2.731,0.1378,0.1698,0.5296,1440,8783,581.56,0.32,19,584.9
ashtar_seq2seq,10,42,2025-11-01,60,1440,111042,1440,2998.96,2696.73,17.61,3.4706,0.1816,0.202,0.7554,1440,8760,409.71,0.32,19,413.3
ashtar_seq2seq,0,123,2015-01-01,60,1440,16100,1440,14212.56,13375.0,96.14,18.2822,0.9615,1.0217,-0.0129,1440,8758,227.8,0.33,18,228.7
ashtar_seq2seq,1,123,2016-02-01,60,1440,25602,1440,2270.27,1923.76,13.93,2.6755,0.1434,0.1693,0.6666,1440,8758,157.77,0.33,19,159.0
ashtar_seq2seq,2,123,2017-03-01,60,1440,35056,1440,2836.96,2081.26,16.51,2.6307,0.164,0.2235,0.5086,1440,8760,196.28,0.32,19,197.7
ashtar_seq2seq,3,123,2018-04-01,60,1440,44560,1440,4820.55,4221.59,34.97,5.265,0.331,0.378,0.0668,1440,8760,340.18,0.32,19,341.9
ashtar_seq2seq,4,123,2019-05-01,60,1440,54040,1440,2696.23,2008.77,17.04,2.56,0.166,0.2228,0.1684,1440,8760,562.72,0.32,19,564.6
ashtar_seq2seq,5,123,2020-06-01,60,1440,63544,1440,1433.02,1138.15,10.39,1.5505,0.1,0.126,0.5165,1440,8783,603.27,0.32,19,605.5
ashtar_seq2seq,6,123,2021-07-01,60,1440,73047,1440,2963.22,2411.27,22.9,3.6231,0.2152,0.2645,0.0446,1440,8759,482.87,0.32,19,485.5
ashtar_seq2seq,7,123,2022-08-01,60,1440,82550,1440,1284.11,1017.46,10.22,1.2968,0.0945,0.1193,0.6273,1440,8759,478.56,0.32,19,481.2
ashtar_seq2seq,8,123,2023-09-01,60,1440,92047,1440,2258.79,1764.59,13.31,2.055,0.1385,0.1773,0.4057,1440,8759,395.91,0.32,19,398.8
ashtar_seq2seq,9,123,2024-10-01,60,1440,101524,1440,2754.29,2146.73,14.72,3.0944,0.1561,0.2003,0.4173,1440,8783,227.71,0.31,19,230.9
ashtar_seq2seq,10,123,2025-11-01,60,1440,111042,1440,2030.84,1578.93,10.68,2.032,0.1063,0.1368,0.5103,1440,8760,603.69,0.32,19,607.1
ashtar_seq2seq,0,7,2015-01-01,120,2880,14660,2880,4496.52,3618.77,28.0,5.0772,0.2721,0.3382,0.2997,2880,8758,354.56,1.17,18,356.6
ashtar_seq2seq,1,7,2016-02-01,120,2880,24162,2880,2528.51,2051.51,16.97,2.826,0.1609,0.1983,0.2726,2880,8758,261.67,0.71,19,263.2
ashtar_seq2seq,2,7,2017-03-01,120,2880,33616,2880,11102.29,10581.51,87.33,12.9733,0.8336,0.8747,-0.1017,2880,8760,167.14,0.62,19,168.9
ashtar_seq2seq,3,7,2018-04-01,120,2880,43120,2880,3088.01,2501.44,19.6,3.057,0.1967,0.2428,0.398,2880,8760,180.27,0.63,19,182.2
ashtar_seq2seq,4,7,2019-05-01,120,2880,52600,2880,2045.04,1637.6,14.4,2.1928,0.1347,0.1682,0.297,2880,8760,558.86,0.63,19,561.1
ashtar_seq2seq,5,7,2020-06-01,120,2880,62104,2880,1308.67,986.4,8.78,1.3293,0.0849,0.1126,0.4118,2880,8783,453.2,0.64,19,455.7
ashtar_seq2seq,6,7,2021-07-01,120,2880,71607,2880,2227.54,1817.79,16.24,2.5429,0.1567,0.1921,0.0362,2880,8759,261.02,0.62,19,263.7
ashtar_seq2seq,7,7,2022-08-01,120,2880,81110,2880,2599.31,1997.02,19.08,2.5472,0.1787,0.2326,0.2403,2880,8759,379.22,0.63,19,382.2
ashtar_seq2seq,8,7,2023-09-01,120,2880,90607,2880,2307.57,1826.81,13.12,1.9446,0.1366,0.1725,0.5672,2880,8759,403.62,0.62,19,406.8
ashtar_seq2seq,9,7,2024-10-01,120,2880,100084,2880,2819.65,2285.0,15.25,3.0814,0.1599,0.1973,0.5976,2880,8783,756.49,0.64,19,759.9
ashtar_seq2seq,0,42,2015-01-01,120,2880,14660,2880,2273.52,1867.32,14.37,2.6199,0.1404,0.171,0.5489,2880,8758,179.95,0.63,18,181.2
ashtar_seq2seq,1,42,2016-02-01,120,2880,24162,2880,6625.63,5330.71,44.55,7.343,0.4182,0.5197,0.0527,2880,8758,163.75,0.63,19,165.2
ashtar_seq2seq,2,42,2017-03-01,120,2880,33616,2880,1520.79,1169.62,9.54,1.434,0.0921,0.1198,0.6199,2880,8760,259.63,0.63,19,261.4
ashtar_seq2seq,3,42,2018-04-01,120,2880,43120,2880,2110.79,1658.78,13.68,2.0272,0.1304,0.166,0.4763,2880,8760,256.45,0.62,19,258.4
