model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
van_de_sande_prophet_lstm,0,7,2015-01-01,60,1440,16100,1440,861.9,680.85,5.08,0.9307,0.0489,0.062,0.9269,1440,8758,9.72,0.01,23,24.8
van_de_sande_prophet_lstm,1,7,2016-02-01,60,1440,25602,1440,812.51,608.44,4.68,0.8462,0.0454,0.0606,0.9316,1440,8758,12.98,0.0,24,40.8
van_de_sande_prophet_lstm,2,7,2017-03-01,60,1440,35056,1440,664.25,490.32,3.84,0.6198,0.0386,0.0523,0.9337,1440,8760,22.75,0.0,24,64.1
van_de_sande_prophet_lstm,3,7,2018-04-01,60,1440,44560,1440,1229.64,862.64,6.56,1.0759,0.0676,0.0964,0.7182,1440,8760,23.69,0.0,24,94.5
van_de_sande_prophet_lstm,4,7,2019-05-01,60,1440,54040,1440,1464.58,1201.23,10.26,1.5309,0.0993,0.121,0.8244,1440,8760,22.29,0.0,24,116.6
van_de_sande_prophet_lstm,5,7,2020-06-01,60,1440,63544,1440,1122.68,801.15,7.35,1.0914,0.0704,0.0987,0.7485,1440,8783,28.28,0.0,24,107.4
van_de_sande_prophet_lstm,6,7,2021-07-01,60,1440,73047,1440,1088.75,936.09,8.18,1.4065,0.0835,0.0972,0.7314,1440,8759,30.33,0.0,24,184.6
van_de_sande_prophet_lstm,7,7,2022-08-01,60,1440,82550,1440,1430.5,1010.02,10.65,1.2873,0.0938,0.1329,0.6501,1440,8759,70.27,0.0,24,188.2
van_de_sande_prophet_lstm,8,7,2023-09-01,60,1440,92047,1440,2778.58,2434.19,18.24,2.8348,0.1911,0.2181,0.6098,1440,8759,40.62,0.0,24,216.9
van_de_sande_prophet_lstm,9,7,2024-10-01,60,1440,101524,1440,849.3,656.32,4.54,0.9461,0.0477,0.0618,0.9441,1440,8783,56.65,0.0,24,205.8
van_de_sande_prophet_lstm,10,7,2025-11-01,60,1440,111042,1440,1153.3,969.55,6.53,1.2478,0.0653,0.0777,0.9281,1440,8760,74.92,0.0,24,331.6
van_de_sande_prophet_lstm,0,42,2015-01-01,60,1440,16100,1440,928.36,738.09,5.3,1.0089,0.0531,0.0667,0.9181,1440,8758,9.83,0.01,23,25.0
van_de_sande_prophet_lstm,1,42,2016-02-01,60,1440,25602,1440,791.67,597.72,4.61,0.8313,0.0446,0.059,0.9369,1440,8758,12.44,0.0,24,40.2
van_de_sande_prophet_lstm,2,42,2017-03-01,60,1440,35056,1440,692.57,522.48,4.13,0.6604,0.0412,0.0546,0.9287,1440,8760,16.92,0.0,24,57.8
van_de_sande_prophet_lstm,3,42,2018-04-01,60,1440,44560,1440,1212.31,834.98,6.35,1.0413,0.0655,0.0951,0.7285,1440,8760,26.64,0.0,24,96.9
van_de_sande_prophet_lstm,4,42,2019-05-01,60,1440,54040,1440,1408.0,1161.23,9.91,1.4799,0.096,0.1164,0.84,1440,8760,24.29,0.0,24,117.5
van_de_sande_prophet_lstm,5,42,2020-06-01,60,1440,63544,1440,1140.02,818.56,7.5,1.1152,0.0719,0.1002,0.7563,1440,8783,32.41,0.0,24,111.1
van_de_sande_prophet_lstm,6,42,2021-07-01,60,1440,73047,1440,1116.98,953.54,8.31,1.4328,0.0851,0.0997,0.7272,1440,8759,30.6,0.0,24,182.2
van_de_sande_prophet_lstm,7,42,2022-08-01,60,1440,82550,1440,1325.74,939.59,9.9,1.1976,0.0873,0.1232,0.6123,1440,8759,34.42,0.0,24,151.0
van_de_sande_prophet_lstm,8,42,2023-09-01,60,1440,92047,1440,2654.53,2276.37,17.09,2.651,0.1787,0.2084,0.5735,1440,8759,40.92,0.0,24,214.4
van_de_sande_prophet_lstm,9,42,2024-10-01,60,1440,101524,1440,956.41,741.48,5.1,1.0688,0.0539,0.0695,0.9396,1440,8783,57.89,0.0,24,206.4
van_de_sande_prophet_lstm,10,42,2025-11-01,60,1440,111042,1440,1042.41,848.03,5.7,1.0914,0.0571,0.0702,0.9209,1440,8760,59.42,0.0,24,310.2
van_de_sande_prophet_lstm,0,123,2015-01-01,60,1440,16100,1440,1388.76,1129.97,8.72,1.5445,0.0812,0.0998,0.9107,1440,8758,10.9,0.01,23,25.9
van_de_sande_prophet_lstm,1,123,2016-02-01,60,1440,25602,1440,677.19,529.86,4.05,0.7369,0.0395,0.0505,0.9468,1440,8758,12.23,0.0,24,39.9
van_de_sande_prophet_lstm,2,123,2017-03-01,60,1440,35056,1440,718.02,534.07,4.2,0.6751,0.0421,0.0566,0.9222,1440,8760,15.66,0.0,24,56.8
van_de_sande_prophet_lstm,3,123,2018-04-01,60,1440,44560,1440,1214.51,843.22,6.4,1.0516,0.0661,0.0952,0.7294,1440,8760,34.48,0.0,24,105.2
van_de_sande_prophet_lstm,4,123,2019-05-01,60,1440,54040,1440,1383.11,1122.16,9.56,1.4301,0.0927,0.1143,0.8354,1440,8760,24.0,0.0,24,117.3
van_de_sande_prophet_lstm,5,123,2020-06-01,60,1440,63544,1440,1189.86,878.95,8.03,1.1974,0.0773,0.1046,0.752,1440,8783,32.02,0.0,24,110.7
van_de_sande_prophet_lstm,6,123,2021-07-01,60,1440,73047,1440,1118.01,961.17,8.39,1.4442,0.0858,0.0998,0.7228,1440,8759,30.2,0.0,24,183.1
van_de_sande_prophet_lstm,7,123,2022-08-01,60,1440,82550,1440,1517.22,1074.52,11.37,1.3695,0.0998,0.1409,0.6344,1440,8759,61.08,0.0,24,178.0
van_de_sande_prophet_lstm,8,123,2023-09-01,60,1440,92047,1440,2181.62,1837.18,13.9,2.1395,0.1442,0.1713,0.6781,1440,8759,37.99,0.0,24,212.6
van_de_sande_prophet_lstm,9,123,2024-10-01,60,1440,101524,1440,948.6,760.29,5.35,1.0959,0.0553,0.069,0.9332,1440,8783,81.63,0.0,24,229.7
van_de_sande_prophet_lstm,10,123,2025-11-01,60,1440,111042,1440,1007.28,808.52,5.42,1.0405,0.0545,0.0678,0.9182,1440,8760,45.86,0.0,24,300.7
van_de_sande_prophet_lstm,0,7,2015-01-01,120,2880,14660,2880,800.26,617.79,4.69,0.8668,0.0465,0.0602,0.9375,2880,8758,9.23,0.01,23,19.2
van_de_sande_prophet_lstm,1,7,2016-02-01,120,2880,24162,2880,785.19,604.49,4.84,0.8327,0.0474,0.0616,0.924,2880,8758,11.02,0.01,24,34.2
van_de_sande_prophet_lstm,2,7,2017-03-01,120,2880,33616,2880,859.85,633.61,5.01,0.7768,0.0499,0.0677,0.9031,2880,8760,14.26,0.01,24,52.9
van_de_sande_prophet_lstm,3,7,2018-04-01,120,2880,43120,2880,1060.99,740.91,5.69,0.9055,0.0583,0.0834,0.8065,2880,8760,18.23,0.01,24,68.3
van_de_sande_prophet_lstm,4,7,2019-05-01,120,2880,52600,2880,1163.6,942.76,7.9,1.2624,0.0775,0.0957,0.8524,2880,8760,23.78,0.01,24,92.5
van_de_sande_prophet_lstm,5,7,2020-06-01,120,2880,62104,2880,1062.52,757.9,6.71,1.0213,0.0652,0.0914,0.6997,2880,8783,32.03,0.01,24,120.9
van_de_sande_prophet_lstm,6,7,2021-07-01,120,2880,71607,2880,1171.48,975.36,8.18,1.3644,0.0841,0.101,0.7556,2880,8759,34.76,0.01,24,147.6
van_de_sande_prophet_lstm,7,7,2022-08-01,120,2880,81110,2880,1293.48,916.98,9.07,1.1696,0.0821,0.1158,0.6886,2880,8759,33.96,0.01,24,225.9
van_de_sande_prophet_lstm,8,7,2023-09-01,120,2880,90607,2880,3519.85,3095.27,21.97,3.2949,0.2314,0.2632,0.5718,2880,8759,38.34,0.0,24,169.2
van_de_sande_prophet_lstm,9,7,2024-10-01,120,2880,100084,2880,875.24,699.05,4.82,0.9427,0.0489,0.0613,0.9249,2880,8783,54.23,0.01,24,207.4
van_de_sande_prophet_lstm,0,42,2015-01-01,120,2880,14660,2880,869.81,687.12,5.17,0.964,0.0517,0.0654,0.9329,2880,8758,21.55,0.01,23,34.4
van_de_sande_prophet_lstm,1,42,2016-02-01,120,2880,24162,2880,872.59,634.42,5.13,0.8739,0.0498,0.0685,0.9114,2880,8758,11.39,0.01,24,34.6
van_de_sande_prophet_lstm,2,42,2017-03-01,120,2880,33616,2880,1068.1,830.85,6.39,1.0186,0.0655,0.0841,0.8766,2880,8760,13.86,0.01,24,53.0
van_de_sande_prophet_lstm,3,42,2018-04-01,120,2880,43120,2880,1046.36,718.62,5.48,0.8782,0.0565,0.0823,0.8095,2880,8760,29.01,0.01,24,78.8
van_de_sande_prophet_lstm,4,42,2019-05-01,120,2880,52600,2880,1190.07,972.06,8.22,1.3016,0.0799,0.0979,0.8495,2880,8760,33.99,0.01,24,103.0
van_de_sande_prophet_lstm,5,42,2020-06-01,120,2880,62104,2880,1110.97,799.91,7.12,1.078,0.0688,0.0956,0.7054,2880,8783,27.3,0.01,24,116.5
van_de_sande_prophet_lstm,6,42,2021-07-01,120,2880,71607,2880,1378.15,1206.08,10.13,1.6872,0.104,0.1188,0.7337,2880,8759,29.33,0.01,24,142.7
van_de_sande_prophet_lstm,7,42,2022-08-01,120,2880,81110,2880,1389.51,974.61,9.86,1.2431,0.0872,0.1244,0.7144,2880,8759,33.37,0.01,24,223.2
van_de_sande_prophet_lstm,8,42,2023-09-01,120,2880,90607,2880,2816.15,2447.7,17.47,2.6055,0.183,0.2106,0.7215,2880,8759,39.67,0.0,24,173.6
van_de_sande_prophet_lstm,9,42,2024-10-01,120,2880,100084,2880,895.23,711.27,4.83,0.9592,0.0498,0.0626,0.9308,2880,8783,40.7,0.01,24,195.4
van_de_sande_prophet_lstm,0,123,2015-01-01,120,2880,14660,2880,846.48,654.13,5.16,0.9178,0.0492,0.0637,0.9251,2880,8758,21.11,0.01,23,34.0
van_de_sande_prophet_lstm,1,123,2016-02-01,120,2880,24162,2880,785.5,606.97,4.89,0.8361,0.0476,0.0616,0.9347,2880,8758,12.23,0.01,24,35.2
van_de_sande_prophet_lstm,2,123,2017-03-01,120,2880,33616,2880,879.12,628.29,5.0,0.7703,0.0495,0.0693,0.8946,2880,8760,20.9,0.01,24,59.8
van_de_sande_prophet_lstm,3,123,2018-04-01,120,2880,43120,2880,1024.71,704.32,5.43,0.8608,0.0554,0.0806,0.8065,2880,8760,18.93,0.01,24,69.0
van_de_sande_prophet_lstm,4,123,2019-05-01,120,2880,52600,2880,1115.94,896.93,7.6,1.201,0.0738,0.0918,0.8397,2880,8760,30.84,0.01,24,99.5
