feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
dow_sin,2,714.6938062050239,1253.1762403207954,16.373944003710385,538.4824341157715,0.9714839911951156,0.8716324802295308,0.0028927860775815038,0.09985151096558487
hour_cos,1,714.6938062050239,1133.0432630401524,16.88084826214553,418.34945683512854,0.9714839911951156,0.9084852061708941,0.0035012328702209365,0.06299878502422152
hour_sin,0,714.6938062050239,892.6769441692643,7.6247793890517155,177.98313796424043,0.9714839911951156,0.949994808457318,0.0012391403470872,0.021489182737797652
dow_cos,3,714.6938062050239,878.3219992615208,8.790477263216237,163.6281930564969,0.9714839911951156,0.9499971082655632,0.0011518452818968976,0.021486882929552475
month_cos,5,714.6938062050239,798.064878033669,2.6991551713787523,83.37107182864509,0.9714839911951156,0.9617926859125088,0.00035632165654819867,0.009691305282606866
load_lag_24h,10,714.6938062050239,761.0894895941622,10.935860659590462,46.3956833891383,0.9714839911951156,0.9568554842409668,0.0015512521948025646,0.014628506954148857
month_sin,4,714.6938062050239,737.4949255377193,1.5751802754576656,22.801119332695407,0.9714839911951156,0.9691489259465793,0.00020183032301206098,0.0023350652485363277
solar_rad_lag_10h,13,714.6938062050239,734.9313497120911,2.3181890222345296,20.237543507067244,0.9714839911951156,0.9667236238999319,0.0001956786938172336,0.004760367295183698
pca_cbs_knmi_full_01,16,714.6938062050239,732.1145290256393,0.7422988051338728,17.420722820615424,0.9714839911951156,0.9695570398788931,7.119106749378514e-05,0.0019269513162225582
load_lag_12h,9,714.6938062050239,730.4102703572544,0.983722971194527,15.716464152230515,0.9714839911951156,0.9705976298538873,0.00010185947256010028,0.0008863613412283255
pca_cbs_knmi_full_14,29,714.6938062050239,723.9361889185508,0.3680268379851587,9.242382713526922,0.9714839911951156,0.970477501431162,4.5056767140010984e-05,0.0010064897639536774
temp_lag_107h,15,714.6938062050239,720.9191816653594,0.6798300494562183,6.225375460335499,0.9714839911951156,0.9704867598911904,7.975722871238542e-05,0.0009972313039252612
pca_cbs_knmi_full_16,31,714.6938062050239,719.0153336922813,1.0634602275217375,4.321527487257413,0.9714839911951156,0.9709161523158277,8.497285491737021e-05,0.0005678388792879074
pca_cbs_knmi_full_11,26,714.6938062050239,718.7587079266598,0.35141375414799036,4.06490172163592,0.9714839911951156,0.9713303055059239,3.0908386887762397e-05,0.0001536856891917182
pca_cbs_knmi_full_05,20,714.6938062050239,718.6982045169842,0.4638689742255985,4.004398311960358,0.9714839911951156,0.97093636297688,5.771490015106115e-05,0.0005476282182356185
