feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
load_lag_12h,9,583.4389718822003,1412.0407138582457,16.42063653567866,828.6017419760453,0.9700306874621398,0.8321133811513869,0.004804778954414661,0.13791730631075294
hour_cos,1,583.4389718822003,1059.137832236073,11.620011054005918,475.69886035387276,0.9700306874621398,0.9201883425665235,0.0016897605610777056,0.04984234489561634
dow_cos,3,583.4389718822003,1058.5956846587724,14.941489179035887,475.156712776572,0.9700306874621398,0.8946719954474271,0.002986026758751523,0.07535869201471268
month_cos,5,583.4389718822003,726.9815905472418,11.975539869895218,143.54261866504146,0.9700306874621398,0.953280010056974,0.0016372277274492107,0.01675067740516578
load_lag_24h,10,583.4389718822003,720.6611725572952,3.17144315001049,137.22220067509488,0.9700306874621398,0.9572074741473185,0.00043040095323495093,0.01282321331482128
hour_sin,0,583.4389718822003,675.859664424239,2.4234048777288635,92.42069254203864,0.9700306874621398,0.9602453253609958,0.00028643606890508074,0.009785362101144002
load_lag_1w,11,583.4389718822003,658.5950133927653,3.1707834876236625,75.15604151056493,0.9700306874621398,0.9640674403335658,0.00034927742119551114,0.00596324712857399
dow_sin,2,583.4389718822003,618.0730979213974,3.5555906870655503,34.6341260391971,0.9700306874621398,0.9665279314262678,0.00038598685219686397,0.0035027560358720233
solar_rad_lag_10h,13,583.4389718822003,614.5131874243787,1.2905499270333896,31.074215542178308,0.9700306874621398,0.9669666368353326,0.00015343485867584918,0.0030640506268072576
pca_cbs_knmi_full_14,29,583.4389718822003,610.5011114746319,0.7209392322224183,27.06213959243155,0.9700306874621398,0.9675070296839662,8.05480211025705e-05,0.002523657778173649
month_sin,4,583.4389718822003,598.1368763908004,0.660829357947655,14.697904508600004,0.9700306874621398,0.9686344356983796,6.777711301777938e-05,0.0013962517637602367
week_of_year,7,583.4389718822003,590.1740055334126,0.590763456927407,6.735033651212234,0.9700306874621398,0.9694738753192137,6.312051062398547e-05,0.000556812142926133
pca_cbs_knmi_full_10,25,583.4389718822003,586.7897059942383,0.1714736503294704,3.3507341120379124,0.9700306874621398,0.969730799334377,1.9261385911581812e-05,0.00029988812776282625
pca_cbs_knmi_full_07,22,583.4389718822003,586.6663325270489,0.5067276119156204,3.2273606448485452,0.9700306874621398,0.9698891789255887,6.195629169665324e-05,0.00014150853655114926
pca_cbs_knmi_full_13,28,583.4389718822003,585.3629723160335,0.22287355266051775,1.9240004338331573,0.9700306874621398,0.9698154313900929,2.2677061618485074e-05,0.0002152560720469765
pca_cbs_knmi_full_04,19,583.4389718822003,584.419638458992,0.4751461071856124,0.9806665767916911,0.9700306874621398,0.9701358566117733,5.014495921167573e-05,-0.00010516914963343282
pca_cbs_knmi_full_09,24,583.4389718822003,584.3161476311132,0.5998366245340654,0.8771757489128049,0.9700306874621398,0.9698498979672194,6.311273273694917e-05,0.00018078949492039698
pca_cbs_knmi_full_02,17,583.4389718822003,583.4921854268002,0.05902302454021009,0.0532135445998847,0.9700306874621398,0.970009908319233,5.914975751539399e-06,2.0779142906879322e-05
load_lag_1y,12,583.4389718822003,582.8439494484203,0.5361910316338331,-0.5950224337800591,0.9700306874621398,0.9700454298469923,5.328113851612585e-05,-1.4742384852439727e-05
pca_cbs_knmi_full_06,21,583.4389718822003,582.42863584218,0.6979189218328815,-1.01033604002032,0.9700306874621398,0.9703384819388523,7.927054775255056e-05,-0.0003077944767124752
humidity_lag_12h,14,583.4389718822003,582.1007622933919,0.8575844812365231,-1.3382095888084677,0.9700306874621398,0.9702706343728649,9.194936120555213e-05,-0.00023994691072504182
pca_cbs_knmi_full_08,23,583.4389718822003,582.0631586616197,0.26424605030195014,-1.3758132205806533,0.9700306874621398,0.9703578898764391,3.22507194887699e-05,-0.000327202414299288
pca_cbs_knmi_full_15,30,583.4389718822003,582.0551263838255,0.14635487688826704,-1.3838454983748534,0.9700306874621398,0.9702038153177212,1.6382547385141846e-05,-0.00017312785558132315
day_of_year,6,583.4389718822003,580.6120255269403,0.4424105393514959,-2.82694635526002,0.9700306874621398,0.9702214761090915,4.613860810763292e-05,-0.0001907886469516562
temp_lag_107h,15,583.4389718822003,579.6346173889207,0.6795635549232034,-3.804354493279675,0.9700306874621398,0.970261200074187,7.380136184941517e-05,-0.00023051261204720674
pca_cbs_knmi_full_12,27,583.4389718822003,577.6343841686037,0.3253591059787398,-5.804587713596675,0.9700306874621398,0.9706214112010783,3.0334518444210463e-05,-0.0005907237389384257
pca_cbs_knmi_full_01,16,583.4389718822003,577.4743044694292,1.1467233277844253,-5.964667412771178,0.9700306874621398,0.9706024906918739,0.0001213849923485845,-0.000571803229734047
pca_cbs_knmi_full_05,20,583.4389718822003,577.1075099303982,0.5541655881256885,-6.331461951802112,0.9700306874621398,0.9707248276077898,5.960343537286066e-05,-0.0006941401456499463
pca_cbs_knmi_full_11,26,583.4389718822003,575.7246350856688,0.5108160374532803,-7.714336796531597,0.9700306874621398,0.9708528413341652,5.446803126340887e-05,-0.000822153872025333
quarter,8,583.4389718822003,571.9087463077951,1.1215263074500672,-11.530225574405222,0.9700306874621398,0.9712212207635964,0.00011881329551673885,-0.0011905333014565755
pca_cbs_knmi_full_03,18,583.4389718822003,570.5753788951104,0.7592774767816302,-12.863592987089987,0.9700306874621398,0.9710768619084549,7.07315698987075e-05,-0.0010461744463150513
pca_cbs_knmi_full_16,31,583.4389718822003,562.8827232409905,1.133193139633711,-20.55624864120989,0.9700306874621398,0.9720382170376913,0.00011378970836811402,-0.0020075295755515032
