column_name,display_name,category,dtype,unit,source,native_resolution,computation,coverage,notes
timestamp,Timestamp (UTC),Primary Key,datetime64[ns],—,Derived,Hourly,Contiguous hourly UTC spine from pd.date_range,2012-01-01 00:00 – 2025-12-31 23:00,Timezone-naive; represents UTC; hour-beginning convention (14:00 = interval [14:00–15:00))
entsoe_load_mw,Netherlands Electricity Load,Target,float64,MW,ENTSO-E Transparency Platform,Hourly,Parsed from XLSX (wide 2006–2015 / long 2015+); CET→UTC conversion; dt.floor('h'); deduplicated keep-last,2006–2024 (100% within spine),Target variable for forecasting
ntl_a2_mean,VIIRS A2 Mean NTL Radiance (selective),Satellite,float64,nW/cm²/sr,NASA VIIRS VNP46A2,Daily,Mean of ntl_radiance across NL-masked pixels with quality_flag ≤ 1 and not fill; null if < 10% pixel coverage,2012–2025 (~55% hourly),Gap-filled BRDF-corrected NTL; high-quality pixels only
ntl_a2_sum,VIIRS A2 Sum NTL Radiance (selective),Satellite,float64,nW/cm²/sr,NASA VIIRS VNP46A2,Daily,Sum of ntl_radiance across NL-masked pixels with quality_flag ≤ 1 and not fill; null if < 10% pixel coverage,2012–2025 (~55% hourly),Same pixel filter as ntl_a2_mean
ntl_a2_valid_count,VIIRS A2 Valid Pixel Count,Satellite,float64,pixels,NASA VIIRS VNP46A2,Daily,Count of pixels where quality_flag ≤ 1 AND is_fill = false,2012–2025,Directly observed high-quality pixels; invariant: valid + fill + invalid = 285719
ntl_a2_fill_count,VIIRS A2 Fill Pixel Count,Satellite,float64,pixels,NASA VIIRS VNP46A2,Daily,Count of pixels where is_fill = true (sentinel value −999.9),2012–2025,Sensor/retrieval gaps — no data recorded
ntl_a2_invalid_count,VIIRS A2 Invalid Pixel Count,Satellite,float64,pixels,NASA VIIRS VNP46A2,Daily,Count of pixels where quality_flag > 1 AND is_fill = false,2012–2025,Imputed/degraded quality pixels
ntl_a2_all_mean,VIIRS A2 Mean NTL Radiance (non-selective),Satellite,float64,nW/cm²/sr,NASA VIIRS VNP46A2,Daily,Mean of ntl_radiance across all non-fill NL-masked pixels (quality 0–3); null if < 10% pixel coverage,2012–2025 (~97.5% hourly),Includes gap-filled/imputed pixels; less survivorship bias than selective
ntl_a2_all_sum,VIIRS A2 Sum NTL Radiance (non-selective),Satellite,float64,nW/cm²/sr,NASA VIIRS VNP46A2,Daily,Sum of ntl_radiance across all non-fill pixels; null if < 10% pixel coverage,2012–2025 (~97.5% hourly),Same pixel filter as ntl_a2_all_mean
ntl_a2_all_valid_count,VIIRS A2 Valid Pixel Count (non-sel context),Satellite,float64,pixels,NASA VIIRS VNP46A2,Daily,Count of pixels where quality_flag ≤ 1 AND is_fill = false (same as selective),2012–2025,Identical to ntl_a2_valid_count — allows comparison of pixel composition
ntl_a2_all_fill_count,VIIRS A2 Fill Pixel Count (non-sel context),Satellite,float64,pixels,NASA VIIRS VNP46A2,Daily,Count of pixels where is_fill = true (same as selective),2012–2025,Identical to ntl_a2_fill_count
ntl_a2_all_invalid_count,VIIRS A2 Invalid Pixel Count (non-sel context),Satellite,float64,pixels,NASA VIIRS VNP46A2,Daily,Count of pixels where quality_flag > 1 AND is_fill = false (same as selective),2012–2025,Identical to ntl_a2_invalid_count
ntl_a1_mean,VIIRS A1 Mean NTL Radiance,Satellite,float64,nW/cm²/sr,NASA VIIRS VNP46A1,Daily,Mean of at-sensor radiance across NL-masked pixels with quality_flag ≤ 1 and not fill; null if < 10% coverage,2012–2025 (~96% hourly),Raw at-sensor radiance (no gap-filling or BRDF correction)
ntl_a1_sum,VIIRS A1 Sum NTL Radiance,Satellite,float64,nW/cm²/sr,NASA VIIRS VNP46A1,Daily,Sum of at-sensor radiance across NL-masked pixels with quality_flag ≤ 1 and not fill,2012–2025 (~96% hourly),Same pixel filter as ntl_a1_mean
ntl_a1_valid_count,VIIRS A1 Valid Pixel Count,Satellite,float64,pixels,NASA VIIRS VNP46A1,Daily,Count of pixels where quality_flag ≤ 1 AND is_fill = false,2012–2025,Directly observed pixels (QF_DNB bits 0-1 extracted to uint8)
ntl_a1_fill_count,VIIRS A1 Fill Pixel Count,Satellite,float64,pixels,NASA VIIRS VNP46A1,Daily,Count of pixels where is_fill = true,2012–2025,Sensor/retrieval gaps
ntl_a1_invalid_count,VIIRS A1 Invalid Pixel Count,Satellite,float64,pixels,NASA VIIRS VNP46A1,Daily,Count of pixels where quality_flag > 1 AND is_fill = false,2012–2025,Poor/no retrieval quality pixels
cbs_gas_transport_rate,Gas Network Transport Rate,CBS Tariffs,float64,Euro/year,CBS Average Energy Prices for Consumers,Monthly,"Harmonized from old (2018–2023) and new (2021+) CBS schema, spliced at 2020/2021 boundary",2018–2026,Fixed annual network charge for gas connection
cbs_gas_fixed_supply_rate,Gas Fixed Supply Rate,CBS Tariffs,float64,Euro/year,CBS Average Energy Prices for Consumers,Monthly,Harmonized CBS value,2018–2026,Fixed annual gas supply charge
cbs_gas_ode_tax,Gas ODE Tax,CBS Tariffs,float64,Euro/m³,CBS Average Energy Prices for Consumers,Monthly,ODE surcharge on gas; from old schema + merged for 2021–2022,2018–2022,Null from 2023 onward (CBS merged ODE into energy tax)
cbs_gas_energy_tax,Gas Energy Tax,CBS Tariffs,float64,Euro/m³,CBS Average Energy Prices for Consumers,Monthly,Per-unit energy tax on gas,2018–2026,From 2023 includes former ODE component
cbs_gas_total_tax,Gas Total Tax,CBS Tariffs,float64,Euro/m³,CBS Average Energy Prices for Consumers,Monthly,ODE + energy_tax for ≤ 2022; energy_tax alone for ≥ 2023,2018–2026,Continuous comparable series across CBS methodology change
cbs_elec_transport_rate,Electricity Network Transport Rate,CBS Tariffs,float64,Euro/year,CBS Average Energy Prices for Consumers,Monthly,Harmonized CBS value,2018–2026,Fixed annual network charge for electricity connection
cbs_elec_fixed_supply_rate,Electricity Fixed Supply Rate,CBS Tariffs,float64,Euro/year,CBS Average Energy Prices for Consumers,Monthly,Harmonized CBS value,2018–2026,Fixed annual electricity supply charge
cbs_elec_fixed_supply_rate_dynamic,Electricity Fixed Supply Rate (Dynamic Contract),CBS Tariffs,float64,Euro/year,CBS Average Energy Prices for Consumers,Monthly,New schema only — dynamic contract fixed rate,2025–2026,Null before 2025
cbs_elec_variable_supply_rate_dynamic,Electricity Variable Supply Rate (Dynamic Contract),CBS Tariffs,float64,Euro/kWh,CBS Average Energy Prices for Consumers,Monthly,New schema only — dynamic contract variable rate,2025–2026,Null before 2025
cbs_elec_ode_tax,Electricity ODE Tax,CBS Tariffs,float64,Euro/kWh,CBS Average Energy Prices for Consumers,Monthly,ODE surcharge on electricity,2018–2022,Null from 2023 onward
cbs_elec_energy_tax,Electricity Energy Tax,CBS Tariffs,float64,Euro/kWh,CBS Average Energy Prices for Consumers,Monthly,Per-unit energy tax on electricity,2018–2026,From 2023 includes former ODE component
cbs_elec_total_tax,Electricity Total Tax,CBS Tariffs,float64,Euro/kWh,CBS Average Energy Prices for Consumers,Monthly,ODE + energy_tax for ≤ 2022; energy_tax alone for ≥ 2023,2018–2026,Continuous comparable series
cbs_elec_energy_tax_refund,Electricity Energy Tax Refund,CBS Tariffs,float64,Euro/year,CBS Average Energy Prices for Consumers,Monthly,Annual tax refund on electricity,2018–2026,—
cbs_gdp_yy,GDP Volume Change (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change in GDP,1996–2025,Q1 value fills Jan/Feb/Mar etc.
cbs_gdp_qq,GDP Volume Change (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change in GDP,1996–2025,—
cbs_gdp_wda_yy,GDP Working Days Adjusted (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),GDP year-over-year change adjusted for working days,1996–2025,No q/q variant available
cbs_population_million,Population,CBS GDP,float64,million persons,CBS Population Statistics,Annual → Monthly (replicated),Dutch population in millions,2012–2025,Replicated to all 12 months of each year
cbs_capform_enterprise_qq,Enterprise Capital Formation (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_capform_enterprise_yy,Enterprise Capital Formation (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_capform_gov_qq,Government Capital Formation (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_capform_gov_yy,Government Capital Formation (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_capform_total_qq,Total Capital Formation (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_capform_total_yy,Total Capital Formation (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_consumption_gov_qq,Government Consumption (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_consumption_gov_yy,Government Consumption (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_consumption_hh_qq,Household Consumption (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change; includes NPISHs,1996–2025,—
cbs_consumption_hh_yy,Household Consumption (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change; includes NPISHs,1996–2025,—
cbs_consumption_total_qq,Total Consumption (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_consumption_total_yy,Total Consumption (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_cpi_electricity,Electricity CPI,CBS CPI,float64,index (2015=100),CBS Consumer Price Index (Consumentenprijzen),Monthly,Consumer Price Index for electricity (base year 2015 = 100),1996–2025,A value of 162 means 62% more expensive than 2015
cbs_cpi_energy,Energy CPI,CBS CPI,float64,index (2015=100),CBS Consumer Price Index (Consumentenprijzen),Monthly,Consumer Price Index for overall energy basket (base year 2015 = 100),1996–2025,Household-weighted composite of electricity and gas
cbs_cpi_gas,Gas CPI,CBS CPI,float64,index (2015=100),CBS Consumer Price Index (Consumentenprijzen),Monthly,Consumer Price Index for gas (base year 2015 = 100),1996–2025,—
cbs_disposable_total_qq,Total Disposable for Final Expenditure (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_disposable_total_yy,Total Disposable for Final Expenditure (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_exports_goods_qq,Exports of Goods (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_exports_goods_yy,Exports of Goods (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
cbs_exports_services_qq,Exports of Services (q/q),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Quarter-over-quarter volume change,1996–2025,—
cbs_exports_services_yy,Exports of Services (y/y),CBS GDP,float64,%,CBS Quarterly National Accounts,Quarterly → Monthly (forward-filled),Year-over-year volume change,1996–2025,—
