model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,123,2015-01-01,180,4320,13220,4320,3015.12,2469.76,18.91,3.3724,0.1909,0.2331,-0.0371,4320,8758,151.18,1.25,25,153.4
ashtar_seq2seq,1,123,2016-02-01,180,4320,22722,4320,2863.31,2446.86,18.78,3.3781,0.1926,0.2253,0.0071,4320,8758,132.68,0.93,29,134.8
ashtar_seq2seq,2,123,2017-03-01,180,4320,32176,4320,1831.25,1474.91,12.49,1.885,0.1175,0.1458,0.3368,4320,8760,217.11,0.91,31,219.7
ashtar_seq2seq,3,123,2018-04-01,180,4320,41680,4320,3170.13,2345.45,18.61,2.9749,0.1851,0.2502,0.158,4320,8760,340.27,0.91,32,343.4
ashtar_seq2seq,4,123,2019-05-01,180,4320,51160,4320,1556.98,1291.13,10.55,1.7339,0.1045,0.1261,0.6203,4320,8760,281.1,0.91,34,284.6
ashtar_seq2seq,5,123,2020-06-01,180,4320,60664,4320,2229.49,1747.78,14.79,2.456,0.1454,0.1855,0.49,4320,8783,306.66,0.92,35,310.7
ashtar_seq2seq,6,123,2021-07-01,180,4320,70167,4320,2434.76,1903.28,16.45,2.68,0.1564,0.2,0.2604,4320,8759,456.76,0.9,34,461.2
ashtar_seq2seq,7,123,2022-08-01,180,4320,79670,4320,2830.84,2284.69,21.07,3.0703,0.1941,0.2406,0.5424,4320,8759,557.25,0.92,35,562.1
ashtar_seq2seq,8,123,2023-09-01,180,4320,89165,4320,1612.24,1284.34,9.03,1.4532,0.0938,0.1178,0.7973,4320,8759,366.46,0.92,35,371.8
ashtar_seq2seq,9,123,2024-10-01,180,4320,98644,4320,2939.05,2477.93,16.82,3.2739,0.1748,0.2073,0.6148,4320,8783,773.5,0.9,32,778.9
