model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
van_de_sande_prophet_lstm,0,123,2015-01-01,180,4320,13220,4320,862.49,672.92,5.27,0.9189,0.052,0.0667,0.9294,4320,8758,39.95,0.01,30,49.6
van_de_sande_prophet_lstm,1,123,2016-02-01,180,4320,22722,4320,998.88,771.42,6.24,1.065,0.0607,0.0786,0.8854,4320,8758,11.55,0.01,34,39.7
van_de_sande_prophet_lstm,2,123,2017-03-01,180,4320,32176,4320,721.99,506.73,4.0,0.6476,0.0404,0.0575,0.9143,4320,8760,16.08,0.01,36,50.5
van_de_sande_prophet_lstm,3,123,2018-04-01,180,4320,41680,4320,911.18,646.0,5.09,0.8194,0.051,0.0719,0.8278,4320,8760,20.97,0.01,37,93.6
van_de_sande_prophet_lstm,4,123,2019-05-01,180,4320,51160,4320,1189.88,986.99,8.29,1.3254,0.0799,0.0963,0.8839,4320,8760,25.75,0.01,39,143.7
van_de_sande_prophet_lstm,5,123,2020-06-01,180,4320,60664,4320,978.65,724.44,6.2,1.018,0.0603,0.0814,0.8246,4320,8783,30.07,0.01,40,167.9
van_de_sande_prophet_lstm,6,123,2021-07-01,180,4320,70167,4320,1478.85,1240.31,9.77,1.7465,0.1019,0.1215,0.815,4320,8759,39.24,0.01,39,219.2
van_de_sande_prophet_lstm,7,123,2022-08-01,180,4320,79670,4320,1139.49,907.79,7.74,1.2199,0.0771,0.0968,0.8651,4320,8759,34.94,0.01,40,209.6
van_de_sande_prophet_lstm,8,123,2023-09-01,180,4320,89165,4320,1680.77,1392.42,9.82,1.5755,0.1017,0.1228,0.8511,4320,8759,37.1,0.01,40,298.0
van_de_sande_prophet_lstm,9,123,2024-10-01,180,4320,98644,4320,1230.56,1020.46,7.01,1.3483,0.072,0.0868,0.9329,4320,8783,49.48,0.01,37,249.8
