model,fold,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,elapsed_s
van_de_sande_mlr,0,2015-01-01,60,1440,7340,1440,44833.21,44809.49,331.89,61.2497,3.2214,3.2231,0.7711,1440,0.4
van_de_sande_mlr,1,2016-01-01,60,1440,16098,1440,103409.8,103394.94,763.29,138.2734,7.4241,7.4251,0.6709,1440,0.5
van_de_sande_mlr,2,2017-01-01,60,1440,24856,1440,18352.59,18321.08,132.32,24.4095,1.2835,1.2857,0.8763,1440,0.7
van_de_sande_mlr,3,2018-01-01,60,1440,33640,1440,13172.25,13123.24,94.24,17.9206,0.9146,0.918,0.843,1440,0.6
van_de_sande_mlr,4,2019-01-01,60,1440,42400,1440,2707.67,2480.91,17.08,3.1169,0.1738,0.1897,0.8508,1440,0.8
van_de_sande_mlr,5,2020-01-01,60,1440,51160,1440,2189.37,1952.66,14.98,2.7185,0.1411,0.1582,0.8472,1440,0.7
van_de_sande_mlr,6,2021-01-01,60,1440,59920,1440,7541.02,7439.33,57.43,10.2794,0.5541,0.5617,0.7746,1440,0.9
van_de_sande_mlr,7,2022-01-01,60,1440,68703,1440,8315.06,7979.87,61.37,10.4108,0.6117,0.6374,0.3959,1440,1.0
van_de_sande_mlr,8,2023-01-01,60,1440,77462,1440,75034.45,75020.47,618.4,99.281,6.0261,6.0272,0.6633,1440,0.8
van_de_sande_mlr,9,2024-01-01,60,1440,86213,1440,15452.8,15386.7,108.3,20.0766,1.0689,1.0735,0.7267,1440,0.8
van_de_sande_mlr,10,2025-01-01,60,1440,94966,1440,51684.47,51671.44,353.26,61.4529,3.4556,3.4565,0.8365,1440,1.0
van_de_sande_mlr,0,2015-01-01,75,1800,6980,1800,31946.78,31903.44,239.0,42.9717,2.3171,2.3202,0.6979,1800,0.4
van_de_sande_mlr,1,2016-01-01,75,1800,15738,1800,13222.76,13166.9,98.69,17.5621,0.9526,0.9566,0.8348,1800,0.4
van_de_sande_mlr,2,2017-01-01,75,1800,24496,1800,22420.86,22395.12,163.47,29.8233,1.5873,1.5891,0.8744,1800,0.6
van_de_sande_mlr,3,2018-01-01,75,1800,33280,1800,12128.96,12066.27,87.36,16.2776,0.8468,0.8512,0.8047,1800,0.6
van_de_sande_mlr,4,2019-01-01,75,1800,42040,1800,1740.15,1426.34,9.67,1.8156,0.1006,0.1228,0.791,1800,0.7
van_de_sande_mlr,5,2020-01-01,75,1800,50800,1800,8192.03,8122.28,59.91,10.6479,0.5937,0.5988,0.84,1800,0.7
van_de_sande_mlr,6,2021-01-01,75,1800,59560,1800,1846.17,1571.82,11.48,2.1384,0.1182,0.1388,0.7418,1800,0.7
van_de_sande_mlr,7,2022-01-01,75,1800,68343,1800,8571.83,8372.81,65.89,11.3661,0.6583,0.6739,0.4823,1800,0.7
van_de_sande_mlr,8,2023-01-01,75,1800,77102,1800,22687.57,22514.12,188.53,29.0585,1.8258,1.8399,0.3332,1800,0.8
van_de_sande_mlr,9,2024-01-01,75,1800,85853,1800,1827.54,1533.78,11.51,1.9552,0.1082,0.1289,0.7013,1800,0.8
van_de_sande_mlr,10,2025-01-01,75,1800,94606,1800,101811.75,101799.51,713.37,125.8159,6.9719,6.9728,0.6755,1800,1.1
van_de_sande_mlr,0,2015-01-01,90,2160,6620,2160,12054.42,12007.12,90.89,16.5211,0.8805,0.8839,0.8776,2160,0.2
van_de_sande_mlr,1,2016-01-01,90,2160,15378,2160,20437.8,20419.73,153.6,27.4203,1.5005,1.5018,0.9212,2160,0.3
van_de_sande_mlr,2,2017-01-01,90,2160,24136,2160,23598.07,23579.37,174.67,31.7304,1.6988,1.7002,0.9022,2160,0.4
van_de_sande_mlr,3,2018-01-01,90,2160,32920,2160,6449.91,6360.12,46.53,8.4144,0.4503,0.4567,0.8517,2160,0.5
van_de_sande_mlr,4,2019-01-01,90,2160,41680,2160,1317.1,1035.68,7.77,1.3117,0.0741,0.0942,0.8305,2160,0.8
van_de_sande_mlr,5,2020-01-01,90,2160,50440,2159,9547.39,9492.92,71.97,12.8221,0.7099,0.7139,0.8617,2159,0.9
van_de_sande_mlr,6,2021-01-01,90,2160,59200,2159,4656.09,4500.63,36.0,6.2091,0.3446,0.3565,0.7825,2159,0.9
van_de_sande_mlr,7,2022-01-01,90,2160,67983,2159,3580.06,2980.47,24.37,4.0144,0.2396,0.2879,0.61,2159,1.0
van_de_sande_mlr,8,2023-01-01,90,2160,76742,2159,3452.28,2660.35,21.5,3.412,0.2195,0.2848,0.239,2159,1.2
van_de_sande_mlr,9,2024-01-01,90,2160,85493,2160,6954.87,6844.86,50.95,9.0823,0.4909,0.4988,0.798,2160,1.3
van_de_sande_mlr,10,2025-01-01,90,2160,94244,2160,138561.28,138551.41,993.5,174.4372,9.7008,9.7015,0.6503,2160,1.6
van_de_sande_mlr,0,2015-01-01,105,2520,6260,2520,20931.24,20880.75,159.15,28.9147,1.5524,1.5561,0.7937,2520,0.4
van_de_sande_mlr,1,2016-01-01,105,2520,15018,2520,70871.72,70818.27,543.17,97.3139,5.2884,5.2924,0.5829,2520,0.6
van_de_sande_mlr,2,2017-01-01,105,2520,23776,2520,9452.11,9403.72,71.33,12.4082,0.6884,0.6919,0.9029,2520,0.6
van_de_sande_mlr,3,2018-01-01,105,2520,32560,2520,3085.35,2908.77,20.77,3.876,0.2093,0.222,0.8522,2520,0.7
van_de_sande_mlr,4,2019-01-01,105,2520,41320,2520,3142.68,2966.49,21.41,3.7368,0.2153,0.2281,0.8528,2520,0.8
van_de_sande_mlr,5,2020-01-01,105,2520,50080,2519,4071.0,3771.37,28.84,5.1881,0.2893,0.3123,0.6948,2519,0.9
van_de_sande_mlr,6,2021-01-01,105,2520,58840,2519,9534.95,9001.62,72.84,12.4822,0.7002,0.7417,0.2239,2519,1.0
van_de_sande_mlr,7,2022-01-01,105,2520,67623,2519,6106.35,5264.72,42.56,6.8523,0.4278,0.4962,0.3995,2519,1.0
van_de_sande_mlr,8,2023-01-01,105,2520,76382,2519,57683.97,57167.82,479.12,74.2967,4.7118,4.7544,-0.1116,2519,1.1
van_de_sande_mlr,9,2024-01-01,105,2520,85133,2519,1574.38,1317.7,10.11,1.7402,0.0963,0.115,0.7714,2519,1.2
van_de_sande_mlr,10,2025-01-01,105,2520,93884,2520,73917.55,65235.44,472.48,86.2717,4.6589,5.2789,0.1731,2520,1.3
van_de_sande_mlr,0,2015-01-01,120,2880,5900,2880,21219.79,21048.26,161.42,29.5309,1.5829,1.5958,0.4067,2880,0.2
van_de_sande_mlr,1,2016-01-01,120,2880,14658,2880,44340.34,44284.17,343.19,60.3826,3.3495,3.3537,0.5521,2880,0.3
van_de_sande_mlr,2,2017-01-01,120,2880,23416,2880,3927.08,3741.64,29.48,4.857,0.2781,0.2919,0.8414,2880,0.4
van_de_sande_mlr,3,2018-01-01,120,2880,32200,2880,8565.84,8475.91,61.84,10.9127,0.6133,0.6198,0.7875,2880,0.7
van_de_sande_mlr,4,2019-01-01,120,2880,40960,2880,4158.94,3951.28,28.97,5.0363,0.291,0.3063,0.7797,2880,0.8
van_de_sande_mlr,5,2020-01-01,120,2880,49720,2879,3533.42,2448.45,18.91,3.4412,0.1918,0.2767,0.1264,2879,0.9
van_de_sande_mlr,6,2021-01-01,120,2880,58480,2879,4423.3,4045.73,31.44,5.5319,0.3211,0.3511,0.4704,2879,0.9
van_de_sande_mlr,7,2022-01-01,120,2880,67263,2879,6189.91,5764.63,48.98,7.1807,0.4785,0.5138,0.6434,2879,1.0
van_de_sande_mlr,8,2023-01-01,120,2880,76022,2879,72217.49,70988.51,595.97,91.4785,5.8644,5.9659,-0.1101,2879,1.0
van_de_sande_mlr,9,2024-01-01,120,2880,84773,2879,13630.77,13499.45,100.97,17.6765,0.997,1.0067,0.5568,2879,1.1
van_de_sande_mlr,10,2025-01-01,120,2880,93523,2880,341697.5,339151.68,2538.58,451.5751,24.6296,24.8145,0.3684,2880,1.3
van_de_sande_mlr,0,2015-01-01,135,3240,5540,3240,1748.03,1476.23,11.07,2.0249,0.1122,0.1328,0.8605,3240,0.2
van_de_sande_mlr,1,2016-01-01,135,3240,14298,3240,27736.85,27621.22,217.18,37.8852,2.1119,2.1208,0.6119,3240,0.5
van_de_sande_mlr,2,2017-01-01,135,3240,23056,3240,8604.45,8494.78,64.29,10.8748,0.6362,0.6444,0.7741,3240,0.6
van_de_sande_mlr,3,2018-01-01,135,3240,31840,3240,5703.11,5504.38,40.25,7.0866,0.4037,0.4183,0.6795,3240,0.8
van_de_sande_mlr,4,2019-01-01,135,3240,40600,3240,4394.43,4211.05,31.2,5.444,0.3131,0.3267,0.7876,3240,0.7
van_de_sande_mlr,5,2020-01-01,135,3240,49360,3239,17397.87,15463.44,120.93,22.0205,1.2294,1.3832,-0.2852,3239,0.8
van_de_sande_mlr,6,2021-01-01,135,3240,58120,3239,6539.78,4892.98,38.44,6.4639,0.3939,0.5264,-0.3055,3239,0.7
van_de_sande_mlr,7,2022-01-01,135,3240,66903,3239,5092.3,4433.72,38.7,5.5127,0.3741,0.4296,0.632,3239,0.9
van_de_sande_mlr,8,2023-01-01,135,3240,75662,3239,68061.11,66889.39,563.03,87.4079,5.533,5.6299,-0.0392,3239,1.1
van_de_sande_mlr,9,2024-01-01,135,3240,84413,3239,3142.61,2343.36,16.71,3.0939,0.1755,0.2353,0.3752,3239,1.2
van_de_sande_mlr,10,2025-01-01,135,3240,93163,3240,134629.97,134616.87,1015.22,185.5906,9.91,9.9109,0.7467,3240,1.4
van_de_sande_mlr,0,2015-01-01,150,3600,5180,3600,4396.02,4050.9,31.99,5.5472,0.3102,0.3366,0.7699,3600,0.4
van_de_sande_mlr,1,2016-01-01,150,3600,13938,3600,39181.12,39072.65,308.48,53.7673,3.0066,3.0149,0.6299,3600,0.5
van_de_sande_mlr,2,2017-01-01,150,3600,22696,3600,4293.48,3938.34,29.07,4.9832,0.2955,0.3221,0.6183,3600,0.5
van_de_sande_mlr,3,2018-01-01,150,3600,31480,3600,2809.61,2459.88,19.47,3.1826,0.1812,0.207,0.7034,3600,0.7
van_de_sande_mlr,4,2019-01-01,150,3600,40240,3600,3344.67,3103.98,23.09,4.0169,0.2334,0.2515,0.7778,3600,0.7
van_de_sande_mlr,5,2020-01-01,150,3600,49000,3599,12070.44,9518.22,72.73,13.5683,0.7667,0.9722,-0.3991,3599,0.8
van_de_sande_mlr,6,2021-01-01,150,3600,57760,3599,6034.73,5785.45,48.12,7.5313,0.4715,0.4918,-0.3233,3599,0.8
van_de_sande_mlr,7,2022-01-01,150,3600,66543,3599,3237.43,2574.6,23.66,3.0756,0.2196,0.2761,0.4347,3599,0.9
van_de_sande_mlr,8,2023-01-01,150,3600,75302,3599,69482.79,68065.2,578.68,90.3572,5.6589,5.7768,0.1379,3599,0.9
van_de_sande_mlr,9,2024-01-01,150,3600,84053,3599,2367.81,1842.58,13.3,2.4562,0.1393,0.179,0.5031,3599,1.0
van_de_sande_mlr,10,2025-01-01,150,3600,92803,3600,15116.04,15068.38,114.24,21.1633,1.1218,1.1253,0.827,3600,1.5
van_de_sande_mlr,0,2015-01-01,165,3960,4820,3960,42459.5,41912.15,329.29,57.4751,3.2269,3.269,0.5176,3960,0.2
van_de_sande_mlr,1,2016-01-01,165,3960,13578,3960,25651.91,25458.2,199.84,34.7036,1.9647,1.9797,0.2062,3960,0.4
van_de_sande_mlr,2,2017-01-01,165,3960,22336,3960,10000.82,9910.63,77.53,12.5193,0.7481,0.7549,0.7749,3960,0.6
van_de_sande_mlr,3,2018-01-01,165,3960,31120,3960,5886.12,5521.31,41.93,7.0662,0.4091,0.4361,0.6783,3960,0.6
van_de_sande_mlr,4,2019-01-01,165,3960,39880,3960,2400.37,2101.72,15.64,2.7162,0.1596,0.1822,0.7895,3960,0.7
van_de_sande_mlr,5,2020-01-01,165,3960,48640,3959,6437.03,6217.8,52.9,8.7824,0.5056,0.5234,-0.4345,3959,0.7
van_de_sande_mlr,6,2021-01-01,165,3960,57400,3959,4808.57,4123.92,32.61,5.3479,0.3395,0.3959,0.0426,3959,0.8
van_de_sande_mlr,7,2022-01-01,165,3960,66183,3959,3830.77,3155.34,29.27,3.7788,0.272,0.3302,0.473,3959,1.0
van_de_sande_mlr,8,2023-01-01,165,3960,74942,3959,56360.65,54444.88,462.83,74.092,4.526,4.6853,0.1552,3959,1.1
van_de_sande_mlr,9,2024-01-01,165,3960,83693,3959,3725.76,3426.54,26.11,4.6392,0.2614,0.2842,-0.091,3959,1.2
van_de_sande_mlr,10,2025-01-01,165,3960,92443,3960,125664.77,125626.74,969.21,179.0483,9.4436,9.4465,-0.0597,3960,1.5
van_de_sande_mlr,0,2015-01-01,180,4320,4460,4320,69743.56,67930.79,533.26,92.7587,5.2514,5.3915,0.4294,4320,0.2
van_de_sande_mlr,1,2016-01-01,180,4320,13218,4320,16069.87,15973.75,125.64,21.6017,1.2345,1.242,0.6224,4320,0.4
van_de_sande_mlr,2,2017-01-01,180,4320,21976,4320,12422.64,12350.67,96.57,15.6111,0.9345,0.94,0.7719,4320,0.3
van_de_sande_mlr,3,2018-01-01,180,4320,30760,4320,5554.09,5017.97,38.03,6.3969,0.3737,0.4136,0.6573,4320,0.4
van_de_sande_mlr,4,2019-01-01,180,4320,39520,4320,3030.81,2798.38,21.29,3.5834,0.2138,0.2316,0.802,4320,0.4
van_de_sande_mlr,5,2020-01-01,180,4320,48280,4319,4500.62,3727.32,33.59,5.2767,0.3051,0.3684,0.0849,4319,0.6
van_de_sande_mlr,6,2021-01-01,180,4320,57040,4319,8793.51,8672.38,72.19,11.1142,0.7167,0.7267,0.6598,4319,0.5
van_de_sande_mlr,7,2022-01-01,180,4320,65823,4319,2717.32,2292.83,21.58,2.7528,0.1992,0.236,0.5846,4319,0.7
van_de_sande_mlr,8,2023-01-01,180,4320,74582,4319,19363.77,17436.76,147.94,24.0882,1.4458,1.6056,0.2454,4319,1.0
van_de_sande_mlr,9,2024-01-01,180,4320,83332,4319,4253.09,3610.91,27.04,4.9108,0.2773,0.3267,-0.0916,4319,1.3
van_de_sande_mlr,10,2025-01-01,180,4320,92082,4320,90373.54,90362.06,698.55,130.8738,6.8313,6.8322,0.7902,4320,1.5
van_de_sande_prophet_lstm,0,2015-01-01,60,1440,7340,1440,1749.77,1494.33,10.61,2.0426,0.1074,0.1258,0.9225,1440,30.9
van_de_sande_prophet_lstm,1,2016-01-01,60,1440,16098,1440,826.5,625.7,4.67,0.8368,0.0449,0.0593,0.9461,1440,19.0
van_de_sande_prophet_lstm,2,2017-01-01,60,1440,24856,1440,998.75,857.96,5.9,1.1431,0.0601,0.07,0.9682,1440,28.8
van_de_sande_prophet_lstm,3,2018-01-01,60,1440,33640,1440,1326.61,1202.55,8.41,1.6422,0.0838,0.0925,0.9522,1440,36.6
van_de_sande_prophet_lstm,4,2019-01-01,60,1440,42400,1440,1055.47,755.79,5.42,0.9495,0.0529,0.0739,0.9285,1440,70.5
van_de_sande_prophet_lstm,5,2020-01-01,60,1440,51160,1440,1404.11,1252.55,9.29,1.7438,0.0905,0.1015,0.9447,1440,59.5
van_de_sande_prophet_lstm,6,2021-01-01,60,1440,59920,1440,1090.88,753.06,5.82,1.0405,0.0561,0.0813,0.8584,1440,127.6
