model,fold,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_features,elapsed_s
ashtar_sarimax_lstm,0,2015-01-01,75,1800,15740,1800,1669.98,1307.03,9.21,1.7605,0.0949,0.1213,0.818,1800,35,12094.4
ashtar_sarimax_lstm,0,2015-01-01,60,1440,16100,1440,1563.46,1232.66,8.65,1.6849,0.0886,0.1124,0.7481,1440,35,13143.4
ashtar_sarimax_lstm,0,2015-01-01,90,2160,15380,2160,3308.9,2912.84,21.13,4.0079,0.2136,0.2426,0.7133,2160,35,15600.9
ashtar_sarimax_lstm,1,2016-01-01,75,1800,24498,1800,2299.0,1951.13,14.14,2.6024,0.1412,0.1663,0.8025,1800,36,16057.8
ashtar_sarimax_lstm,1,2016-01-01,90,2160,24138,2160,3262.78,2896.5,21.17,3.8895,0.2128,0.2398,0.7316,2160,36,16239.1
ashtar_sarimax_lstm,1,2016-01-01,60,1440,24858,1440,1742.87,1451.9,10.64,1.9417,0.1043,0.1251,0.811,1440,36,19084.2
ashtar_sarimax_lstm,2,2017-01-01,75,1800,33256,1800,3235.13,3056.71,21.56,4.0706,0.2167,0.2293,0.8746,1800,36,13347.6
ashtar_sarimax_lstm,2,2017-01-01,90,2160,32896,2160,3075.14,2724.01,19.26,3.6657,0.1963,0.2216,0.7382,2160,36,13297.3
ashtar_sarimax_lstm,2,2017-01-01,60,1440,33616,1440,5111.67,4885.67,34.8,6.5093,0.3423,0.3581,0.797,1440,36,16273.8
ashtar_sarimax_lstm,3,2018-01-01,90,2160,41680,2160,3193.87,2848.29,19.95,3.7683,0.2017,0.2261,0.7248,2160,36,13925.8
ashtar_sarimax_lstm,3,2018-01-01,75,1800,42040,1800,1533.96,1335.6,9.71,1.8017,0.0937,0.1076,0.8628,1800,36,18837.3
ashtar_sarimax_lstm,3,2018-01-01,60,1440,42400,1440,4741.62,4536.4,32.55,6.1948,0.3162,0.3305,0.8079,1440,36,13354.8
ashtar_sarimax_lstm,4,2019-01-01,75,1800,50800,1800,1470.97,1134.98,8.49,1.4447,0.0801,0.1038,0.7903,1800,36,14152.4
ashtar_sarimax_lstm,4,2019-01-01,60,1440,51160,1440,1563.99,1295.01,8.91,1.627,0.0907,0.1096,0.7947,1440,36,13395.1
ashtar_sarimax_lstm,4,2019-01-01,90,2160,50440,2160,1699.6,1385.19,9.85,1.7543,0.0991,0.1216,0.6934,2160,36,16255.2
