model,fold,seed,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_val,train_time_s,infer_time_s,n_features,elapsed_s
ashtar_seq2seq,0,7,2015-01-01,60,1440,16100,1440,8445.75,6935.79,53.03,9.4805,0.4986,0.6072,0.0936,1440,8758,154.0,2.17,26,157.7
ashtar_seq2seq,1,7,2016-02-01,60,1440,25602,1440,1569.23,1329.62,9.99,1.8492,0.0991,0.117,0.8296,1440,8758,156.88,0.32,30,158.8
ashtar_seq2seq,2,7,2017-03-01,60,1440,35056,1440,992.41,751.6,5.77,0.95,0.0592,0.0782,0.8621,1440,8760,289.39,0.6,31,291.8
ashtar_seq2seq,3,7,2018-04-01,60,1440,44560,1440,2474.89,2115.49,16.49,2.6383,0.1659,0.1941,0.5643,1440,8760,314.62,0.31,33,317.4
ashtar_seq2seq,4,7,2019-05-01,60,1440,54040,1440,2066.8,1678.15,14.05,2.1387,0.1387,0.1708,0.4533,1440,8760,337.95,0.31,34,341.0
ashtar_seq2seq,5,7,2020-06-01,60,1440,63544,1440,2524.96,1924.0,17.44,2.6211,0.1691,0.2219,0.3451,1440,8783,212.11,0.31,35,215.7
ashtar_seq2seq,6,7,2021-07-01,60,1440,73047,1440,3526.1,2546.74,23.85,3.8267,0.2273,0.3147,0.0639,1440,8759,226.68,0.31,34,230.6
ashtar_seq2seq,7,7,2022-08-01,60,1440,82550,1440,2695.19,2277.96,23.35,2.9034,0.2116,0.2504,0.4156,1440,8759,377.95,0.3,35,382.4
ashtar_seq2seq,8,7,2023-09-01,60,1440,92047,1440,1925.27,1587.64,12.03,1.8489,0.1246,0.1511,0.5395,1440,8759,437.59,0.31,35,442.5
ashtar_seq2seq,9,7,2024-10-01,60,1440,101524,1440,1622.5,1209.92,8.94,1.7441,0.088,0.118,0.6447,1440,8783,307.91,0.31,35,313.6
ashtar_seq2seq,10,7,2025-11-01,60,1440,111042,1440,2430.42,2134.59,14.04,2.7471,0.1438,0.1637,0.7643,1440,8760,816.87,0.32,33,822.5
ashtar_seq2seq,0,42,2015-01-01,60,1440,16100,1440,2780.26,2354.14,16.83,3.2179,0.1692,0.1999,0.4118,1440,8758,150.62,0.32,26,151.9
ashtar_seq2seq,1,42,2016-02-01,60,1440,25602,1440,1895.32,1579.13,12.14,2.1962,0.1177,0.1413,0.6139,1440,8758,156.78,0.32,30,159.5
ashtar_seq2seq,2,42,2017-03-01,60,1440,35056,1440,2081.67,1727.9,14.01,2.1841,0.1361,0.164,0.7207,1440,8760,147.58,0.31,31,149.8
ashtar_seq2seq,3,42,2018-04-01,60,1440,44560,1440,2560.81,1905.57,15.25,2.3765,0.1494,0.2008,0.4106,1440,8760,320.96,0.32,33,323.7
ashtar_seq2seq,4,42,2019-05-01,60,1440,54040,1440,1702.98,1228.09,10.57,1.5651,0.1015,0.1407,0.5008,1440,8760,259.19,0.32,34,262.3
ashtar_seq2seq,5,42,2020-06-01,60,1440,63544,1440,1436.79,1191.3,10.91,1.623,0.1047,0.1263,0.4014,1440,8783,308.91,0.32,35,312.6
ashtar_seq2seq,6,42,2021-07-01,60,1440,73047,1440,1893.7,1525.29,13.97,2.2919,0.1361,0.169,0.1574,1440,8759,330.63,0.32,34,335.0
ashtar_seq2seq,7,42,2022-08-01,60,1440,82550,1440,1495.21,1114.3,11.43,1.4203,0.1035,0.1389,0.3912,1440,8759,421.58,0.32,35,429.1
ashtar_seq2seq,8,42,2023-09-01,60,1440,92047,1440,1772.6,1450.66,11.0,1.6894,0.1139,0.1392,0.5579,1440,8759,488.67,0.32,35,493.7
