model,fold,cutoff,horizon_days,horizon_hours,n_train,n_test,train_time_s,infer_time_s,seed,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_features,elapsed_s
van_de_sande_mlr,0,2015-01-01,60,1440,24858,1440,0.08,0.0,N/A,1756.05,1538.19,11.04,2.1025,0.1106,0.1262,0.9019,1440,29,0.3
van_de_sande_mlr,1,2016-02-01,60,1440,34360,1440,0.07,0.0,N/A,1164.75,945.75,7.3,1.3153,0.0705,0.0868,0.8427,1440,31,0.5
van_de_sande_mlr,2,2017-03-01,60,1440,43816,1440,0.07,0.0,N/A,1612.08,1346.7,11.07,1.7022,0.1061,0.127,0.8186,1440,33,0.3
van_de_sande_mlr,3,2018-04-01,60,1440,53320,1440,0.03,0.0,N/A,1457.15,1180.12,9.42,1.4718,0.0925,0.1143,0.6691,1440,34,0.3
van_de_sande_mlr,4,2019-05-01,60,1440,62800,1440,0.04,0.0,N/A,1071.73,848.67,7.22,1.0816,0.0701,0.0886,0.775,1440,35,0.4
van_de_sande_mlr,5,2020-06-01,60,1440,72327,1440,0.04,0.0,N/A,1503.34,1233.56,11.03,1.6805,0.1084,0.1321,0.557,1440,34,3.0
van_de_sande_mlr,6,2021-07-01,60,1440,81806,1440,0.05,0.0,N/A,1176.88,966.27,8.9,1.4519,0.0862,0.105,0.5936,1440,35,0.5
van_de_sande_mlr,7,2022-08-01,60,1440,91305,1440,0.06,0.0,N/A,1194.92,968.5,9.59,1.2344,0.09,0.111,0.6632,1440,35,1.1
van_de_sande_mlr,8,2023-09-01,60,1440,100804,1440,0.06,0.0,N/A,984.69,799.69,6.41,0.9313,0.0628,0.0773,0.8268,1440,35,0.7
van_de_sande_mlr,9,2024-10-01,60,1440,110298,1440,0.08,0.0,N/A,1131.51,916.39,6.68,1.3209,0.0666,0.0823,0.8465,1440,33,0.5
van_de_sande_mlr,0,2015-01-01,75,1800,24498,1800,0.01,0.0,N/A,2010.14,1818.1,13.26,2.4489,0.132,0.146,0.8873,1800,29,0.2
van_de_sande_mlr,1,2016-02-01,75,1800,34000,1800,0.02,0.0,N/A,1260.92,1000.13,7.89,1.4238,0.0761,0.0959,0.8303,1800,31,0.2
van_de_sande_mlr,2,2017-03-01,75,1800,43456,1800,0.03,0.0,N/A,1638.46,1343.4,11.11,1.6975,0.1063,0.1297,0.8212,1800,33,0.3
van_de_sande_mlr,3,2018-04-01,75,1800,52960,1800,0.03,0.0,N/A,1381.79,1074.92,8.57,1.3194,0.0844,0.1084,0.6836,1800,34,1.4
van_de_sande_mlr,4,2019-05-01,75,1800,62440,1800,0.04,0.0,N/A,1048.58,791.72,6.66,1.0229,0.0654,0.0866,0.7674,1800,35,0.4
van_de_sande_mlr,5,2020-06-01,75,1800,71967,1800,0.04,0.0,N/A,1424.29,1173.55,10.5,1.6585,0.1025,0.1244,0.532,1800,34,0.4
van_de_sande_mlr,6,2021-07-01,75,1800,81446,1800,0.05,0.0,N/A,1129.8,936.4,8.48,1.3495,0.0829,0.1001,0.6199,1800,35,0.5
van_de_sande_mlr,7,2022-08-01,75,1800,90944,1800,0.06,0.0,N/A,1199.98,936.71,9.32,1.1753,0.0866,0.1109,0.6643,1800,35,0.5
van_de_sande_mlr,8,2023-09-01,75,1800,100444,1800,0.06,0.0,N/A,1074.86,845.88,6.74,0.9244,0.0659,0.0837,0.8092,1800,35,0.8
van_de_sande_mlr,9,2024-10-01,75,1800,109938,1800,0.06,0.0,N/A,1205.29,978.53,6.94,1.3721,0.07,0.0862,0.8529,1800,33,0.5
van_de_sande_mlr,0,2015-01-01,90,2160,24138,2160,0.09,0.0,N/A,2042.71,1879.61,14.14,2.5862,0.1378,0.1498,0.9289,2160,29,0.2
van_de_sande_mlr,1,2016-02-01,90,2160,33640,2160,0.02,0.0,N/A,1321.57,1034.13,8.32,1.4236,0.0799,0.1021,0.8826,2160,31,3.2
van_de_sande_mlr,2,2017-03-01,90,2160,43096,2160,0.03,0.0,N/A,1751.35,1529.63,12.33,1.8867,0.1203,0.1377,0.8486,2160,33,0.3
van_de_sande_mlr,3,2018-04-01,90,2160,52600,2160,0.08,0.0,N/A,1189.57,881.94,6.87,1.0818,0.0693,0.0934,0.7607,2160,34,0.4
van_de_sande_mlr,4,2019-05-01,90,2160,62080,2160,0.04,0.0,N/A,894.27,674.66,5.57,0.8687,0.0555,0.0736,0.8366,2160,35,0.4
van_de_sande_mlr,5,2020-06-01,90,2160,71607,2160,0.04,0.0,N/A,1133.11,866.91,7.67,1.1927,0.0752,0.0983,0.6725,2160,34,1.6
van_de_sande_mlr,6,2021-07-01,90,2160,81086,2160,0.05,0.0,N/A,1113.32,952.79,8.36,1.3397,0.0837,0.0978,0.755,2160,35,0.5
van_de_sande_mlr,7,2022-08-01,90,2160,90584,2160,0.06,0.0,N/A,967.96,777.42,7.46,0.9575,0.0715,0.089,0.792,2160,35,0.9
van_de_sande_mlr,8,2023-09-01,90,2160,100084,2160,0.06,0.0,N/A,1030.69,804.57,6.38,0.8464,0.0617,0.0791,0.8583,2160,35,0.5
van_de_sande_mlr,9,2024-10-01,90,2160,109578,2160,0.06,0.0,N/A,1200.5,973.74,6.86,1.3623,0.0694,0.0856,0.8525,2160,33,0.5
van_de_sande_mlr,0,2015-01-01,105,2520,23778,2520,0.01,0.0,N/A,1903.05,1706.34,12.77,2.3629,0.1269,0.1415,0.8687,2520,29,0.2
van_de_sande_mlr,1,2016-02-01,105,2520,33280,2520,0.02,0.0,N/A,1129.73,881.17,7.1,1.231,0.0689,0.0883,0.8864,2520,31,3.3
van_de_sande_mlr,2,2017-03-01,105,2520,42736,2520,0.03,0.0,N/A,1367.29,1150.15,9.26,1.4006,0.0908,0.1079,0.8691,2520,33,0.3
van_de_sande_mlr,3,2018-04-01,105,2520,52240,2520,0.03,0.0,N/A,1231.38,880.65,6.87,1.0654,0.0692,0.0968,0.7434,2520,34,0.3
van_de_sande_mlr,4,2019-05-01,105,2520,61720,2520,0.04,0.0,N/A,943.55,725.86,6.01,0.9476,0.0598,0.0777,0.8265,2520,35,0.4
van_de_sande_mlr,5,2020-06-01,105,2520,71247,2520,0.04,0.0,N/A,1014.86,807.19,7.06,1.1001,0.0698,0.0877,0.737,2520,34,0.4
van_de_sande_mlr,6,2021-07-01,105,2520,80726,2520,0.05,0.0,N/A,1500.49,1333.84,11.54,1.8736,0.1162,0.1307,0.7582,2520,35,0.6
van_de_sande_mlr,7,2022-08-01,105,2520,90224,2520,0.06,0.0,N/A,980.69,785.84,7.3,0.9919,0.0716,0.0893,0.8082,2520,35,0.5
van_de_sande_mlr,8,2023-09-01,105,2520,99724,2520,0.06,0.0,N/A,1258.65,977.97,7.42,1.0305,0.0733,0.0944,0.8077,2520,35,0.9
van_de_sande_mlr,9,2024-10-01,105,2520,109218,2520,0.06,0.0,N/A,1237.77,991.43,6.85,1.3487,0.0702,0.0876,0.8492,2520,33,0.5
van_de_sande_mlr,0,2015-01-01,120,2880,23418,2880,0.01,0.0,N/A,1930.82,1634.22,12.09,2.2928,0.1229,0.1452,0.8466,2880,29,0.2
van_de_sande_mlr,1,2016-02-01,120,2880,32920,2880,0.09,0.0,N/A,1142.54,913.85,7.3,1.2588,0.0717,0.0896,0.847,2880,31,1.7
van_de_sande_mlr,2,2017-03-01,120,2880,42376,2880,0.03,0.0,N/A,1359.08,1096.48,8.91,1.3443,0.0864,0.1071,0.7957,2880,33,0.3
van_de_sande_mlr,3,2018-04-01,120,2880,51880,2880,0.08,0.0,N/A,1247.54,941.37,7.4,1.1505,0.074,0.0981,0.701,2880,34,0.4
