model,fold,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_features,elapsed_s
ashtar_seq2seq,0,2015-01-01,60,1440,16100,1440,3372.64,2782.06,21.51,3.8028,0.2,0.2425,0.2196,1440,35,833.8
ashtar_seq2seq,0,2015-01-01,105,2520,15020,2520,3002.96,2353.95,18.31,3.2596,0.175,0.2233,0.5837,2520,35,28.1
ashtar_seq2seq,0,2015-01-01,120,2880,14660,2880,3100.47,2620.34,20.33,3.6764,0.1971,0.2332,-0.0204,2880,35,31.6
ashtar_seq2seq,0,2015-01-01,75,1800,15740,1800,2075.48,1812.3,13.2,2.441,0.1316,0.1507,0.6807,1800,35,45.3
ashtar_seq2seq,0,2015-01-01,90,2160,15380,2160,3276.08,2508.74,17.82,3.4519,0.184,0.2402,0.3465,2160,35,41.3
ashtar_seq2seq,0,2015-01-01,135,3240,14300,3240,2659.86,2246.13,16.5,3.081,0.1707,0.2021,0.5243,3240,35,25.6
ashtar_seq2seq,1,2016-01-01,60,1440,24858,1440,7309.84,5650.48,43.86,7.5566,0.4057,0.5249,-0.0895,1440,36,74.8
ashtar_seq2seq,0,2015-01-01,180,4320,13220,4320,3346.01,2810.98,23.2,3.8384,0.2173,0.2587,-0.0596,4320,35,24.5
ashtar_seq2seq,0,2015-01-01,150,3600,13940,3600,4835.63,4068.78,34.03,5.5717,0.3116,0.3703,-0.2113,3600,35,31.8
ashtar_seq2seq,0,2015-01-01,165,3960,13580,3960,2862.47,2422.82,18.87,3.3225,0.1865,0.2204,0.3208,3960,35,27.3
ashtar_seq2seq,1,2016-01-01,75,1800,24498,1800,3376.76,2870.74,20.26,3.829,0.2077,0.2443,0.0185,1800,36,142.8
ashtar_seq2seq,1,2016-01-01,105,2520,23778,2520,2238.42,1842.9,13.3,2.5324,0.1376,0.1672,0.5639,2520,36,137.6
ashtar_seq2seq,1,2016-01-01,90,2160,24138,2160,2207.13,1830.51,13.25,2.4581,0.1345,0.1622,0.4255,2160,36,230.3
ashtar_seq2seq,1,2016-01-01,120,2880,23418,2880,3130.52,2643.47,20.77,3.6044,0.1999,0.2368,0.0178,2880,36,171.4
ashtar_seq2seq,2,2017-01-01,75,1800,33256,1800,3677.7,3044.43,21.5,4.0542,0.2158,0.2607,-0.1721,1800,36,145.9
ashtar_seq2seq,2,2017-01-01,60,1440,33616,1440,2663.89,2206.93,15.97,2.9403,0.1546,0.1866,0.2726,1440,36,304.4
ashtar_seq2seq,1,2016-01-01,150,3600,22698,3600,3839.61,3049.33,22.7,4.1961,0.2346,0.2955,0.1824,3600,36,140.9
ashtar_seq2seq,1,2016-01-01,135,3240,23058,3240,2805.35,2345.23,18.18,3.2167,0.1793,0.2145,0.1189,3240,36,141.5
ashtar_seq2seq,1,2016-01-01,180,4320,21978,4320,3240.71,2728.11,21.06,3.6893,0.2108,0.2505,-0.1668,4320,36,142.7
ashtar_seq2seq,2,2017-01-01,105,2520,32536,2520,4379.5,3581.99,26.24,4.7264,0.2622,0.3206,0.7315,2520,36,220.1
ashtar_seq2seq,2,2017-01-01,120,2880,32176,2880,2790.49,2376.04,17.59,3.0843,0.1766,0.2074,0.2036,2880,36,155.4
ashtar_seq2seq,2,2017-01-01,150,3600,31456,3600,2830.1,2265.39,16.35,2.8664,0.17,0.2123,-0.0485,3600,36,145.4
ashtar_seq2seq,2,2017-01-01,135,3240,31816,3240,2821.73,2209.36,16.2,2.8284,0.1655,0.2113,0.246,3240,36,146.5
ashtar_seq2seq,3,2018-01-01,60,1440,42400,1440,3207.42,1983.18,13.8,2.7082,0.1382,0.2235,0.5559,1440,36,160.8
ashtar_seq2seq,3,2018-01-01,75,1800,42040,1800,1817.52,1329.24,9.29,1.7932,0.0933,0.1275,0.6508,1800,36,209.1
ashtar_seq2seq,2,2017-01-01,180,4320,30736,4320,2984.23,2420.46,18.3,3.0594,0.1832,0.2258,0.1964,4320,36,195.6
ashtar_seq2seq,3,2018-01-01,105,2520,41320,2520,2277.53,1875.31,13.87,2.4989,0.1349,0.1639,0.6072,2520,36,214.4
ashtar_seq2seq,1,2016-01-01,165,3960,22338,3960,2783.73,2219.07,18.55,3.025,0.1713,0.2148,0.3927,3960,36,434.7
ashtar_seq2seq,2,2017-01-01,90,2160,32896,2160,1977.61,1464.09,10.12,1.9702,0.1055,0.1425,0.7346,2160,36,407.9
ashtar_seq2seq,4,2019-01-01,60,1440,51160,1440,2253.38,1922.62,13.6,2.4155,0.1347,0.1579,0.6348,1440,36,280.3
ashtar_seq2seq,2,2017-01-01,165,3960,31096,3960,1989.13,1500.47,10.99,1.8954,0.1133,0.1501,0.5894,3960,36,148.3
ashtar_seq2seq,3,2018-01-01,150,3600,40240,3600,2310.24,1812.34,13.64,2.3448,0.1335,0.1702,0.5745,3600,36,310.9
ashtar_seq2seq,3,2018-01-01,135,3240,40600,3240,1635.32,1305.66,9.71,1.681,0.0958,0.1199,0.6553,3240,36,312.2
