model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed,infer_time_s,n_train,n_val,n_test,elapsed_s
cmat_tab,1,2015-02-01,180,966.2166444897764,792.0784968558074,6.340442269674981,1.0956463113612436,0.0625739595913385,0.0763308201255062,0.9345199799740496,4152,0.0024910024930956,424232,35,256.4491024017334,42,1.643277645111084,22554.0,8590.0,4152.0,290.5262894630432
cmat_tab,2,2016-03-01,180,1014.5276670468984,775.9310617906281,6.10116177325073,0.9903408059006916,0.0620199468246927,0.0810909049281061,0.8663596923033056,4152,0.0069200798649393,424488,50,495.309287071228,42,2.488299608230591,32008.0,8592.0,4152.0,502.19334650039673
cmat_tab,3,2017-04-01,180,1011.8067883006236,752.243770415613,5.852756874742694,0.9507851150783468,0.0593484788463873,0.079826774423022,0.8359987673554959,4152,0.0091151392032594,424616,34,427.8247187137604,42,0.4996647834777832,41512.0,8592.0,4152.0,432.4457342624664
cmat_tab,4,2018-05-01,180,896.404011862473,674.4330871229226,5.555653753324666,0.9064364825823332,0.0546531861240188,0.0726407648705819,0.8740510075748935,4152,0.0058187341550581,424872,24,366.414972782135,42,0.7197167873382568,50992.0,8592.0,4152.0,374.0600652694702
cmat_tab,5,2019-06-01,180,1348.0964689437417,1038.0024322333363,8.817288592966142,1.477116105009286,0.0860960333649122,0.1118164610843704,0.8145937815535933,4152,0.0084049781774713,425000,24,430.4576306343079,42,0.5088798999786377,60496.0,8615.0,4152.0,433.4079864025116
cmat_tab,6,2020-07-01,180,1287.9407789473028,1078.8572547633294,9.436409905577383,1.508755921698533,0.0884365935129916,0.1055756863418925,0.9026878177406844,4152,0.0098561362742505,424872,24,496.4826498031616,42,0.5016465187072754,69999.0,8591.0,4152.0,498.7435369491577
cmat_tab,7,2021-08-01,180,1984.5183302113023,1698.4557731496116,15.353133615983412,2.2903260157120755,0.1435363821211787,0.167711509404491,0.8444098721095074,4152,0.011581939114751,425000,36,840.7728404998779,42,0.5288937091827393,79502.0,8591.0,4152.0,844.1843402385712
cmat_tab,8,2022-09-01,180,1282.698482426319,1042.8064519922627,7.537649099896998,1.166759145178643,0.0758988297076943,0.0933589483436716,0.8922703821828486,4152,0.0049119057910292,425000,28,728.6962077617645,42,0.5950605869293213,89005.0,8591.0,4152.0,733.9304316043854
cmat_tab,9,2023-10-01,180,1311.4306774709958,1146.005560432096,8.059958252819449,1.50340211521945,0.0805339147743508,0.0921589301644373,0.9280173497594194,4152,0.0074082537411919,424616,31,892.7538483142853,42,0.5351252555847168,98484.0,8615.0,4152.0,894.9504516124725
cmat_tab,0,2014-01-01,180,1047.8095339427198,828.9256895208634,6.290267655692738,1.1347660253675844,0.06419754018927849,0.0811493666035113,0.9213769353045408,4152,0.002990651078137905,423848,37,171.64174842834473,42,0.4918241500854492,13052.0,8590.0,4152.0,194.23485922813416
