feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
dow_cos,3,658.9396005612087,994.5407865172352,9.337070703136657,335.6011859560265,0.9566420688303208,0.8975702037884726,0.0017787191927333727,0.05907186504184814
dow_sin,2,658.9396005612087,986.6752177732827,10.937289961422124,327.735617212074,0.9566420688303208,0.8938804296492477,0.0024004531985510583,0.06276163918107303
hour_cos,1,658.9396005612087,803.4280560958139,8.37938241157367,144.48845553460512,0.9566420688303208,0.9422315918929106,0.0012777591645576985,0.014410476937410155
hour_sin,0,658.9396005612087,799.73124696018,4.069679706051225,140.79164639897124,0.9566420688303208,0.930462573168206,0.0008566314302225964,0.02617949566211475
month_cos,5,658.9396005612087,747.7199275532463,3.130059534071302,88.78032699203754,0.9566420688303208,0.9405835062639912,0.0005594677693659141,0.016058562566329537
load_lag_24h,10,658.9396005612087,741.4255961729189,7.113250130248615,82.48599561171011,0.9566420688303208,0.9433812310558409,0.0011328403325633802,0.013260837774479839
pca_fold_07,22,658.9396005612087,691.5131239856044,3.0097044934898456,32.5735234243956,0.9566420688303208,0.9512726436682868,0.0004653408289233855,0.005369425162033981
load_lag_1w,11,658.9396005612087,689.2760101845158,5.641581191089423,30.336409623307077,0.9566420688303208,0.9502514292156444,0.0009592885699631469,0.006390639614676341
pca_fold_06,21,658.9396005612087,689.1352192384004,4.910365109601657,30.195618677191646,0.9566420688303208,0.9511287048418519,0.0007591145182972396,0.005513363988468911
pca_fold_04,19,658.9396005612087,684.1675822643051,2.8151806991617097,25.22798170309636,0.9566420688303208,0.950991058592592,0.000397573928760513,0.0056510102377287375
solar_rad_lag_10h,13,658.9396005612087,682.4118076402606,0.9630100344534859,23.472207079051827,0.9566420688303208,0.9488734060856745,0.00018825911117004789,0.007768662744646271
pca_fold_03,18,658.9396005612087,676.9467011659751,2.01258894097498,18.00710060476638,0.9566420688303208,0.9525937058842409,0.0003089345865105861,0.004048362946079909
pca_fold_05,20,658.9396005612087,666.8579212600587,1.2668165045439397,7.918320698849925,0.9566420688303208,0.9551483013049461,0.00015361547503547326,0.0014937675253746674
month_sin,4,658.9396005612087,664.4903041331185,0.4468825004785342,5.5507035719097075,0.9566420688303208,0.9557378960175381,4.795361764860896e-05,0.0009041728127826554
temp_lag_107h,15,658.9396005612087,662.4250524616804,0.525949093034707,3.4854519004716167,0.9566420688303208,0.9560965897156148,7.668290016166387e-05,0.0005454791147059268
pca_fold_01,16,658.9396005612087,661.2016010582258,0.2970290449530166,2.262000497017084,0.9566420688303208,0.95622614560542,3.3015157393533e-05,0.0004159232249008049
week_of_year,7,658.9396005612087,661.0497951865257,0.36452091299794787,2.1101946253169217,0.9566420688303208,0.95621369914953,4.83013381391192e-05,0.0004283696807907411
load_lag_1y,12,658.9396005612087,659.7209484475745,0.3513235320465587,0.7813478863657792,0.9566420688303208,0.956482273897505,4.05707333953231e-05,0.00015979493281581547
quarter,8,658.9396005612087,659.7033614447804,0.28643113657866626,0.7637608835716492,0.9566420688303208,0.9564032844904032,3.81415194881178e-05,0.00023878433991753045
day_of_year,6,658.9396005612087,659.502961523229,0.26050710922722947,0.5633609620202833,0.9566420688303208,0.9563834581485761,3.6747764595284966e-05,0.0002586106817447087
pca_fold_02,17,658.9396005612087,658.9754382864431,0.007913205859072969,0.03583772523438711,0.9566420688303208,0.9566333507848404,9.690942751969403e-07,8.718045480415881e-06
ntl_images,-1,658.9396005612087,658.927909091987,0.31060560947480265,-0.011691469221773332,0.9566420688303208,0.9566501186148504,4.232957714361688e-05,-8.04978452961791e-06
humidity_lag_12h,14,658.9396005612087,655.8561176383776,0.400336216516628,-3.0834829228311946,0.9566420688303208,0.956865211132398,5.82864637221995e-05,-0.0002231423020772061
load_lag_12h,9,658.9396005612087,632.6612883108764,0.7504233776773787,-26.278312250332306,0.9566420688303208,0.9587558384192739,0.00010636427834120811,-0.0021137695889531516
