feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
load_lag_24h,10,663.0058215462271,1597.5441939538355,38.002684375295466,934.5383724076083,0.9770328166148082,0.7478300097392836,0.02003708895263883,0.22920280687552463
dow_sin,2,663.0058215462271,1190.9151633785973,22.48835571817035,527.9093418323702,0.9770328166148082,0.8765330187405761,0.005996573634232588,0.10049979787423213
hour_cos,1,663.0058215462271,836.1719390855221,16.724000356626433,173.166117539295,0.9770328166148082,0.9710341018382677,0.00157919449255234,0.00599871477654057
hour_sin,0,663.0058215462271,718.0014980724652,3.3822803240830117,54.99567652623807,0.9770328166148082,0.9697637089489757,0.00045814164236688924,0.007269107665832553
pca_fold_05,21,663.0058215462271,678.8351861263224,2.237069980283758,15.829364580095216,0.9770328166148082,0.975502841920757,0.00025044280939946924,0.0015299746940512504
dow_cos,3,663.0058215462271,675.6783751789044,1.7783308796013308,12.67255363267725,0.9770328166148082,0.9752340340440592,0.0002364712606376885,0.001798782570749058
month_sin,4,663.0058215462271,673.6298098268304,1.3615697545298229,10.623988280603271,0.9770328166148082,0.9762622143194211,0.00013115162514049713,0.0007706022953871683
load_lag_1w,11,663.0058215462271,671.0533976625929,1.6713770716148013,8.047576116365804,0.9770328166148082,0.9742074693496481,0.0002637210115315747,0.0028253472651601497
week_of_year,7,663.0058215462271,670.8592466774128,0.9092242966736922,7.853425131185645,0.9770328166148082,0.9766384651259244,7.43188657673397e-05,0.0003943514888837818
humidity_lag_12h,14,663.0058215462271,663.8246711542308,0.1712639021050572,0.8188496080036884,0.9770328166148082,0.9769255501440639,2.246505403823306e-05,0.00010726647074432716
pca_fold_01,17,663.0058215462271,663.2184122029523,0.024987734839833353,0.21259065672518318,0.9770328166148082,0.9770271819512327,2.8539712492545198e-06,5.634663575504462e-06
quarter,8,663.0058215462271,663.005821546227,1.1368683772161603e-13,-1.1368683772161603e-13,0.9770328166148082,0.9770328166148083,1.1102230246251565e-16,-1.1102230246251565e-16
pca_fold_04,20,663.0058215462271,663.005821546227,1.1368683772161603e-13,-1.1368683772161603e-13,0.9770328166148082,0.9770328166148083,1.1102230246251565e-16,-1.1102230246251565e-16
pca_fold_07,23,663.0058215462271,663.005821546227,1.1368683772161603e-13,-1.1368683772161603e-13,0.9770328166148082,0.9770328166148083,1.1102230246251565e-16,-1.1102230246251565e-16
pca_fold_08,24,663.0058215462271,663.005821546227,1.1368683772161603e-13,-1.1368683772161603e-13,0.9770328166148082,0.9770328166148083,1.1102230246251565e-16,-1.1102230246251565e-16
pca_fold_02,18,663.0058215462271,663.005821546227,1.1368683772161603e-13,-1.1368683772161603e-13,0.9770328166148082,0.9770328166148083,1.1102230246251565e-16,-1.1102230246251565e-16
pca_fold_06,22,663.0058215462271,662.920043852398,0.4954293442246513,-0.08577769382918632,0.9770328166148082,0.9768624102539532,7.043723513231447e-05,0.00017040636085507987
pca_fold_03,19,663.0058215462271,662.8761081552605,0.04319197657455327,-0.12971339096668544,0.9770328166148082,0.9770482538048217,4.6552414136486546e-06,-1.543719001351196e-05
load_lag_1y,12,663.0058215462271,662.7086458026688,0.7104566189346257,-0.2971757435583413,0.9770328166148082,0.9772790267467725,7.297443085469603e-05,-0.0002462101319642418
month_cos,5,663.0058215462271,662.6247876116279,0.42795222045805953,-0.38103393459925883,0.9770328166148082,0.9769043605691149,4.396349065391228e-05,0.00012845604569333702
ntl_a2_all_mean,16,663.0058215462271,662.028312105146,0.3380348774970541,-0.9775094410811107,0.9770328166148082,0.9770181103657052,1.577316947499478e-05,1.4706249103046964e-05
day_of_year,6,663.0058215462271,661.9564160381307,0.3791577185316492,-1.04940550809647,0.9770328166148082,0.9771357392234064,4.1177610936193185e-05,-0.00010292260859812163
temp_lag_107h,15,663.0058215462271,660.2472761135791,0.6410817294836021,-2.7585454326480203,0.9770328166148082,0.9772280526271684,7.019668710273455e-05,-0.00019523601236015597
load_lag_12h,9,663.0058215462271,648.9215347212839,2.7830392977346823,-14.084286824943206,0.9770328166148082,0.9782418236836566,0.00034120322711948326,-0.0012090070688484111
solar_rad_lag_10h,13,663.0058215462271,648.0927676541494,2.469201135050775,-14.913053892077755,0.9770328166148082,0.9783367918699891,0.00035271500631688416,-0.0013039752551808892
