feature,feat_idx,baseline_rmse,shuffled_rmse_mean,shuffled_rmse_std,importance_rmse,baseline_pcc,shuffled_pcc_mean,shuffled_pcc_std,importance_pcc
load_lag_24h,10,904.8138617177418,1734.6373349467638,35.144361869520495,829.8234732290219,0.9723897550211745,0.7316985669045434,0.020651375009135397,0.24069118811663115
dow_sin,2,904.8138617177418,1304.5119130665876,15.470242580944731,399.69805134884575,0.9723897550211745,0.8844781896938704,0.003628226562021866,0.08791156532730415
hour_cos,1,904.8138617177418,1041.8000114949532,9.618924564787932,136.98614977721138,0.9723897550211745,0.9605026454439989,0.0016293853738499813,0.011887109577175647
dow_cos,3,904.8138617177418,1004.4815423043625,11.80158592067115,99.66768058662069,0.9723897550211745,0.9522544666918767,0.0023784660534781955,0.020135288329297785
month_sin,4,904.8138617177418,926.0173168006419,0.989078099123006,21.203455082900064,0.9723897550211745,0.969967330586662,0.00014249423562946313,0.002422424434512571
pca_fold_05,20,904.8138617177418,917.102390288396,3.011405546901497,12.288528570654194,0.9723897550211745,0.9709543951771543,0.00026403558430040627,0.001435359844020212
week_of_year,7,904.8138617177418,912.5707347745686,1.3570368809496651,7.756873056826748,0.9723897550211745,0.9722804216584372,0.00011522042080454796,0.00010933336273732941
load_lag_12h,9,904.8138617177418,912.5677429967715,1.2129997419321528,7.753881279029656,0.9723897550211745,0.9715227721239297,0.0002469568810064896,0.0008669828972448501
load_lag_1w,11,904.8138617177418,912.544425953027,2.825457271835215,7.730564235285215,0.9723897550211745,0.9719805943886376,0.00019934482609367747,0.00040916063253693125
hour_sin,0,904.8138617177418,909.6887769605116,10.071235668775547,4.874915242769816,0.9723897550211745,0.971957978919008,0.0008028627006161971,0.0004317761021664923
pca_fold_06,21,904.8138617177418,905.1001846452943,0.6773429881742608,0.28632292755253275,0.9723897550211745,0.9724279940567255,3.916417622412426e-05,-3.8239035551002054e-05
pca_fold_01,16,904.8138617177418,905.0350896679078,0.043344413206989334,0.22122795016593955,0.9723897550211745,0.9723795335085199,6.388590621980431e-06,1.0221512654617904e-05
pca_fold_07,22,904.8138617177418,904.8138617177417,1.1368683772161603e-13,-1.1368683772161603e-13,0.9723897550211745,0.9723897550211745,0.0,0.0
pca_fold_04,19,904.8138617177418,904.8138617177417,1.1368683772161603e-13,-1.1368683772161603e-13,0.9723897550211745,0.9723897550211745,0.0,0.0
pca_fold_02,17,904.8138617177418,904.8138617177417,1.1368683772161603e-13,-1.1368683772161603e-13,0.9723897550211745,0.9723897550211745,0.0,0.0
quarter,8,904.8138617177418,904.8138617177417,1.1368683772161603e-13,-1.1368683772161603e-13,0.9723897550211745,0.9723897550211745,0.0,0.0
pca_fold_08,23,904.8138617177418,904.8138617177417,1.1368683772161603e-13,-1.1368683772161603e-13,0.9723897550211745,0.9723897550211745,0.0,0.0
pca_fold_03,18,904.8138617177418,904.4187209601102,0.15467036511150314,-0.395140757631566,0.9723897550211745,0.9724473275294919,2.443736966321635e-05,-5.757250831739391e-05
humidity_lag_12h,14,904.8138617177418,903.7782571844116,0.9165269192805342,-1.035604533330229,0.9723897550211745,0.9726755057345903,0.00012674256107332848,-0.00028575071341574443
temp_lag_107h,15,904.8138617177418,903.0251501369027,0.39102483757360124,-1.7887115808391627,0.9723897550211745,0.9724408046145381,1.1480999303015521e-05,-5.1049593363550194e-05
load_lag_1y,12,904.8138617177418,901.9949682684386,0.6693102064584128,-2.818893449303232,0.9723897550211745,0.972464270126333,8.260646586745822e-05,-7.451510515843474e-05
day_of_year,6,904.8138617177418,900.8722077084616,0.19476648764807758,-3.941654009280228,0.9723897550211745,0.9728136663458526,2.4632715592462545e-05,-0.00042391132467811676
month_cos,5,904.8138617177418,896.2672393935029,0.4065386820179518,-8.54662232423891,0.9723897550211745,0.9729487467890348,4.0440460132529036e-05,-0.0005589917678602285
solar_rad_lag_10h,13,904.8138617177418,882.0254375714592,3.187410119837517,-22.788424146282637,0.9723897550211745,0.9733785044621586,0.0002922406971201065,-0.000988749440984038
